,precision,recall,f1-score,support
Looking Up,1.000,1.000,1.000,146.000
Looking Down,1.000,1.000,1.000,110.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,256.000
weighted avg,1.000,1.000,1.000,256.000
