,precision,recall,f1-score,support
Forward Pose,0.984,1.000,0.992,120.000
Looking Left,1.000,1.000,1.000,120.000
Looking Right,1.000,0.983,0.992,120.000
accuracy,0.994,0.994,0.994,0.994
macro avg,0.995,0.994,0.994,360.000
weighted avg,0.995,0.994,0.994,360.000
