frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0,Looking Left,0.42973058449302615,0.17005824343188158,-0.050444438,0.47970345689372973,0.28888888888888886,0
1,66.66666666666667,Looking Left,0.4066759373583245,0.21147503176380172,-0.03863013,0.4786634235797903,0.2146153846153846,0
2,133.33333333333334,Looking Left,0.40452157113526777,0.168788428,-0.041147649,0.47498423711276266,0.2066365007541478,0
3,200,Looking Left,0.395669032,0.1809077153763402,-0.035148323,0.46915627736891596,0.22115384615384615,0
4,266.6666666666667,Looking Left,0.3926738502681545,0.16761484371252444,-0.029375956,0.4712707622358653,0.20828228375398186,0
5,333.3333333333333,Looking Left,0.39353597959581965,0.17562591255936458,-0.026284571,0.4712139376756495,0.20670053217223028,0
6,400,Looking Left,0.3967753617449892,0.1659913596098059,-0.040983881,0.4671030889677779,0.18658227848101266,0
7,466.6666666666667,Looking Left,0.39394732389163045,0.18517126750407387,-0.049867098,0.46933480898545804,0.2192405063291139,0
8,533.3333333333334,Looking Left,0.3897418784076192,0.14438415893686124,-0.056426545,0.4712080934211381,0.226023976,0
9,600,Looking Left,0.38623551285586244,0.17542806129953012,-0.059516166,0.4723998194424724,0.2146153846153846,0
10,666.6666666666666,Looking Left,0.38179065959581887,0.17713992100025738,-0.065978066,0.4763077942847946,0.23265460030165913,0
11,733.3333333333333,Looking Left,0.39727031986701433,0.11907788351766728,-0.062235678,0.4805748061052278,0.21454404546628775,0
12,800,Looking Left,0.40973817889451014,0.060119382387982936,-0.080422707,0.48364075105590393,0.20278679653679654,0
13,866.6666666666667,Looking Left,0.4051269869678294,0.081480084,-0.089358563,0.48160944438242553,0.20928030303030304,0
14,933.3333333333334,Looking Left,0.390671383,0.049444399883462165,-0.089303118,0.47961932271142377,0.2146153846153846,0
15,1000,Looking Left,0.3966424243358529,0.10922624939820227,-0.099113401,0.47965953340674733,0.22645211930926218,0
16,1066.6666666666667,Looking Left,0.39627412575555576,0.1288659290284084,-0.10812371,0.4826679755174422,0.2482051282051282,0
17,1133.3333333333333,Looking Left,0.4087409578417008,0.12760691558146275,-0.102116837,0.4837462553808495,0.2682051282051282,0
18,1200,Looking Left,0.39928433378236106,0.11951693266118746,-0.114816202,0.4807678779284263,0.2636217948717948,0
19,1266.6666666666665,Looking Left,0.4178123252828283,0.099681528,-0.117484803,0.47986246060167914,0.25586470267321326,0
20,1333.3333333333333,Looking Left,0.4091490204494185,0.09068269,-0.130357507,0.48068982807679694,0.25418060200668896,0
21,1400,Looking Left,0.4248660930455014,0.092606512,-0.159277071,0.4783645741691837,0.2532051282051282,0
22,1466.6666666666665,Looking Left,0.4187327218740872,0.071369147,-0.141244577,0.47956910873829195,0.2670011148272018,0
23,1533.3333333333333,Looking Left,0.435182677,0.083868175,-0.155739167,0.4813681449445948,0.27415026833631484,0
24,1600,Looking Left,0.43533572568412093,0.041993874281595206,-0.130314997,0.47767746921911614,0.25213675213675213,0
25,1666.6666666666667,Looking Left,0.4188116730776599,0.022306096620931564,-0.108582588,0.4809157037828306,0.24285714285714285,0
26,1733.3333333333335,Looking Left,0.4218209228578347,0.023008272961461865,-0.123753603,0.4827104771566281,0.26505016722408026,0
27,1800,Looking Left,0.42428360035278845,0.022306096620931564,-0.110394655,0.4808479076399223,0.27257383966244725,0
28,1866.6666666666667,Looking Left,0.4191202558225466,0.022320539,-0.127710909,0.4826679755174422,0.26967528893780957,0
29,1933.3333333333333,Looking Left,0.43391996239124864,0.022342812668848827,-0.12383938,0.4816895774786087,0.25035161744022505,0
