frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.3867890048889610,0.018467921378827900,-0.24445668763407900,0.5142241888455790,0.4598214285714290,0
2,133.33333333333300,Looking Left,0.33642982481333200,0.0199363055707225,-0.21593287850635000,0.5030411492889860,0.43148936170212800,0
3,200.0,Looking Left,0.3751607290070120,0.0,-0.20318088328289400,0.5028599801900380,0.4308510638297870,0
4,266.6666666666670,Looking Left,0.3722777867049280,0.019198845032223200,-0.2090113990057800,0.5028439048959400,0.4100177304964540,0
5,333.3333333333330,Looking Left,0.3812292542646950,0.0,-0.20299332106574300,0.5013211357814650,0.4556159420289860,0
6,400.0,Looking Left,0.38696966655972600,0.0,-0.20920178140657600,0.5028960623604630,0.44565217391304300,0
7,466.6666666666670,Looking Left,0.3861571180050320,0.019198845032223200,-0.21387212921521600,0.5013678977134880,0.40694444444444400,0
8,533.3333333333330,Looking Left,0.37844762186320400,0.0,-0.19816014675465300,0.4997529619707110,0.42391304347826100,0
9,600.0,Looking Left,0.36498147219372900,0.0,-0.19797294044402400,0.49812290529990200,0.3739130434782610,0
10,666.6666666666670,Looking Left,0.38511535563452100,0.0,-0.19816014675465300,0.4981748992311640,0.41394927536231900,0
11,733.3333333333330,Looking Left,0.3807062698970500,0.019198845032223200,-0.19241446072101100,0.5012755819157240,0.41394927536231900,0
12,800.0,Looking Left,0.3985369336484030,0.01996409690931560,-0.19947146599231700,0.5029432664351990,0.4066666666666670,0
13,866.6666666666670,Looking Left,0.40142107611311500,0.019592783347677300,-0.2272609667003980,0.5014787018755890,0.40694444444444400,0
14,933.3333333333330,Looking Left,0.3774280857922870,0.018854504950126000,-0.2511294835480820,0.4984399489584750,0.36141304347826100,0
15,1000.0,Looking Left,0.4110938209276770,0.0,-0.23394958500727100,0.4984399489584750,0.31414141414141400,0
16,1066.6666666666700,Looking Left,0.4042137071817500,0.0,-0.2511294835480820,0.4968944099378880,0.37845849802371500,0
17,1133.3333333333300,Looking Left,0.38757611724158100,0.019198845032223200,-0.2565926092429130,0.4984326932414070,0.3405797101449280,0
18,1200.0,Looking Left,0.3893538884546540,0.0266406307723541,-0.2501094468297220,0.4984399489584750,0.3893280632411070,0
19,1266.6666666666700,Looking Left,0.40154047657692500,0.0,-0.2651160136395050,0.4984423676012460,0.33994197292069600,0
20,1333.3333333333300,Looking Left,0.39371483513652,0.0,-0.28220630612694900,0.5030837561458140,0.37475822050290100,0
21,1400.0,Looking Left,0.390439631743828,0.0,-0.2771669078032540,0.49685442091013600,0.41200828157349900,0
22,1466.6666666666700,Looking Left,0.3998102174114840,0.0,-0.29545726744493600,0.5029690471725980,0.30957446808510600,0
23,1533.3333333333300,Looking Left,0.405890766569025,0.0,-0.29013363602103000,0.4967976478207870,0.3952127659574470,0
