frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.27434855712688100,0.08245926913830230,-0.376324324576731,0.506660912302828,0.2765957446808510,0
2,133.33333333333300,Looking Left,0.31165049504738100,0.10956642697819600,-0.5687993275531930,0.5117375711005010,0.054621848739495800,0
3,200.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
4,266.6666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
5,333.3333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
6,400.0,Looking Left,0.3293711554514930,0.0602517292204757,-0.47426603865591900,0.5119337657477040,0.15544871794871800,0
7,466.6666666666670,Looking Left,0.36369566999903900,0.09446203958774620,-0.5443035015207160,0.5173352876564190,0.27653301886792500,0
8,533.3333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
9,600.0,Looking Left,0.2706001800639050,0.06853496089045010,-0.3849951803658840,0.5142867126835630,0.20833333333333300,0
10,666.6666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
11,733.3333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
12,800.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
13,866.6666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
14,933.3333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
15,1000.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
16,1066.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
17,1133.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
18,1200.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
19,1266.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
20,1333.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
21,1400.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
22,1466.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
23,1533.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
24,1600.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
25,1666.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
26,1733.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
27,1800.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
28,1866.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
29,1933.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
30,2000.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
31,2066.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
32,2133.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
33,2200.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
34,2266.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
35,2333.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
36,2400.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
37,2466.666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
38,2533.333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
39,2600.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
40,2666.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
41,2733.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
42,2800.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
43,2866.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
44,2933.333333333330,Looking Left,0.0,0.0,0.5,0.5,0.5,0
45,3000.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
46,3066.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
47,3133.3333333333300,Looking Left,0.0,0.0,0.5,0.5,0.5,0
48,3200.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
49,3266.6666666666700,Looking Left,0.0,0.0,0.5,0.5,0.5,0
