frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.626574380515531,0.019259280394283600,-0.6916912672372830,0.4741161339157570,0.06324110671936760,0
2,133.33333333333300,Looking Left,0.620814085847625,0.018811088266103300,-0.6554971882215060,0.5052134266427590,-0.06688963210702340,0
3,200.0,Looking Left,0.7749278243523600,0.019167079295731900,-0.6834097774911560,0.5174898747850050,-0.3804347826086960,0
4,266.6666666666670,Looking Left,0.7668928281659130,0.02773500981126150,-0.6401241628583730,0.5317302499674150,-0.3055555555555560,0
5,333.3333333333330,Looking Left,0.7269966180699200,0.019425717247145300,-0.6522019772519270,0.5325077213486740,-0.1909090909090910,0
6,400.0,Looking Left,0.756080812954432,0.02792903867389730,-0.6582408844487040,0.5309057052130510,-0.29227053140096600,0
7,466.6666666666670,Looking Left,0.7801151818833500,0.02783690809250070,-0.62218467037122,0.5280203481195010,-0.34782608695652200,0
8,533.3333333333330,Looking Left,0.8039885576463360,0.02792903867389730,-0.6518573715061330,0.524907213111896,-0.28140096618357500,0
9,600.0,Looking Left,0.716594005784374,0.0,-0.6651955996924830,0.5330624483433290,-0.16666666666666700,0
10,666.6666666666670,Looking Left,0.6193480250189060,0.019611613513818400,-0.6716187619599300,0.5128281338522230,-0.35984848484848500,0
11,733.3333333333330,Looking Left,0.6779879555213100,0.02721151399483590,-0.6764018738789860,0.5286614264306330,-0.21956521739130400,0
12,800.0,Looking Left,0.7769907731334820,0.0195328893341018,-0.6851721314280480,0.5223122149430620,-0.5477272727272730,0
13,866.6666666666670,Looking Left,0.6977530037602730,0.027394690053949700,-0.6937216764987790,0.5317629012401270,-0.2646464646464650,0
14,933.3333333333330,Looking Left,0.7112663445791340,0.019241446072101100,-0.6743898939028580,0.5340697152554240,-0.2555555555555560,0
15,1000.0,Looking Left,0.6538738294896130,0.019086611143795600,-0.6588673759284650,0.5270498517561290,-0.33695652173913000,0
16,1066.6666666666700,Looking Left,0.7567120723706170,0.018738292224896500,-0.6768638202161530,0.5274149267656640,-0.5144927536231880,0
17,1133.3333333333300,Looking Left,0.6432683008788720,0.018814417367671900,-0.7103368251673700,0.5194448087808260,-0.36742424242424200,0
18,1200.0,Looking Left,0.6413016467013600,0.026499947000159,-0.6442277258238890,0.517563678671751,-0.5340909090909090,0
19,1266.6666666666700,Looking Left,0.7456771117939060,0.027503266206804600,-0.6861488032148200,0.5179175370085750,-0.5252525252525250,0
20,1333.3333333333300,Looking Left,0.7631351479352210,0.02630668208823280,-0.6956135235177840,0.5324091612184310,-0.5195652173913040,0
21,1400.0,Looking Left,0.7753938443706620,0.02710634349110470,-0.6829649195399990,0.5277259392288740,-0.6777777777777780,0
22,1466.6666666666700,Looking Left,0.7163936810701340,0.0,-0.6908580416601550,0.5223196872791700,-0.5141414141414140,0
23,1533.3333333333300,Looking Left,0.724296463380389,0.01854078591978250,-0.6992247606590820,0.5271651979315020,-0.3888888888888890,0
24,1600.0,Looking Left,0.7369369082480010,0.019806834933486600,-0.6646070738451030,0.5341004462636450,-0.19444444444444400,0
25,1666.6666666666700,Looking Left,0.722259969973278,0.019748812638334100,-0.6588659033242940,0.532252263214251,-0.13695652173913000,0
26,1733.3333333333300,Looking Left,0.696534992206563,0.02792903867389730,-0.6416048930413720,0.5307201649747400,-0.3404255319148940,0
27,1800.0,Looking Left,0.7632627324684140,0.025832808609737600,-0.6060396500801530,0.5276339317395360,-0.4589371980676330,0
28,1866.6666666666700,Looking Left,0.7202328519290280,0.018949048189527800,-0.6115319871228830,0.5276339317395360,-0.3586956521739130,0
29,1933.3333333333300,Looking Left,0.7010502105752220,0.02630668208823280,-0.6218245181888180,0.5308921646528760,-0.25106382978723400,0
30,2000.0,Looking Left,0.701451207105168,0.02721151399483590,-0.6092115470944160,0.5306208484033410,-0.41666666666666700,0
31,2066.6666666666700,Looking Left,0.6767872802233540,0.027503266206804600,-0.6108770184802480,0.5195739120325340,-0.4545454545454550,0
32,2133.3333333333300,Looking Left,0.6946747089257900,0.018738292224896500,-0.643287263390947,0.5187030742053150,-0.42917547568710400,0
33,2200.0,Looking Left,0.774685241540702,0.0187054813220765,-0.5942094844609390,0.5267663154305050,-0.33695652173913000,0
34,2266.6666666666700,Looking Left,0.7001080084086290,0.027307730683968000,-0.5583109481213090,0.5295473839629870,-0.14782608695652200,0
35,2333.3333333333300,Looking Left,0.7247989344645820,0.0,-0.6265283158610960,0.5264144018412360,-0.35555555555555600,0
36,2400.0,Looking Left,0.7108215092311240,0.02721151399483590,-0.5785762210325770,0.5285067174248370,-0.4055555555555560,0
37,2466.666666666670,Looking Left,0.7302499611311770,0.02721151399483590,-0.618182049879937,0.5305171772681670,-0.24782608695652200,0
38,2533.333333333330,Looking Left,0.7665188525035070,0.02710634349110470,-0.584019956751174,0.532439415532,-0.18115942028985500,0
39,2600.0,Looking Left,0.7238897325111740,0.026607604209509600,-0.6519120100527770,0.529380790692943,-0.3666666666666670,0
40,2666.6666666666700,Looking Left,0.6979272626313040,0.0269925443392972,-0.6119235301780190,0.5316955713465080,-0.32121212121212100,0
41,2733.3333333333300,Looking Left,0.6949289450838990,0.02710634349110470,-0.6273617280684510,0.5268614463404650,-0.3666666666666670,0
42,2800.0,Looking Left,0.7299400210649870,0.02622063090481250,-0.6102794862030990,0.5296940347616510,-0.3944444444444450,0
43,2866.6666666666700,Looking Left,0.8106105837549200,0.025375480354459800,-0.6125530498969480,0.5299151747480630,-0.41425120772946900,0
44,2933.333333333330,Looking Left,0.7174458541694040,0.02590638800754200,-0.5955847083700090,0.5299151747480630,-0.34782608695652200,0
45,3000.0,Looking Left,0.6847862726788210,0.02895814951753800,-0.6159023799203530,0.5347551953403090,-0.2080808080808080,0
46,3066.6666666666700,Looking Left,0.7085699896079890,0.019912576573338200,-0.6391987418055910,0.5319890837870320,-0.4117021276595750,0
47,3133.3333333333300,Looking Left,0.7692445758673060,0.02710634349110470,-0.69183724553366,0.5233473107602330,-0.3223404255319150,0
48,3200.0,Looking Left,0.7291111989662320,0.02721151399483590,-0.599719680028104,0.5274338288795790,-0.3195652173913040,0
49,3266.6666666666700,Looking Left,0.7050420445667580,0.027394690053949700,-0.6306568498418800,0.5321675647028890,-0.25416666666666700,0
50,3333.3333333333300,Looking Left,0.7330465891120570,0.04237135986070360,-0.6162591020819700,0.527775558538737,-0.34782608695652200,0
51,3400.0,Looking Left,0.7307842700245720,0.02710634349110470,-0.5966646963943410,0.5278645966476590,-0.34782608695652200,0
52,3466.666666666670,Looking Left,0.6940960341324200,0.04367686834803220,-0.625121829121418,0.5228918839900290,-0.43888888888888900,0
53,3533.333333333330,Looking Left,0.6459882110236010,0.043486482153721100,-0.6768670184726780,0.5304519120196300,-0.4121212121212120,0
54,3600.0,Looking Left,0.7087969389055770,0.0269925443392972,-0.7002964331907040,0.531870574689019,-0.3241106719367590,0
55,3666.6666666666700,Looking Left,0.704576217512054,0.02773500981126150,-0.6763576060390350,0.5332162100191810,-0.25106382978723400,0
56,3733.3333333333300,Looking Left,0.7763260143422960,0.0,-0.7522069689686670,0.5361151519632960,-0.28486997635933800,0
57,3800.0,Looking Left,0.7387342755507350,0.018266554145039700,-0.7315095763749070,0.5292599532978540,-0.1904255319148940,0
58,3866.6666666666700,Looking Left,0.7389062935918820,0.01888473936501250,-0.6935635964361980,0.534306092553384,-0.19375000000000000,0
59,3933.333333333330,Looking Left,0.6859392885147550,0.02721151399483590,-0.6948164862926080,0.5359968564737790,-0.24375000000000000,0
60,4000.0,Looking Left,0.7301649785113080,0.019447746039610300,-0.6465683788612610,0.5282644909129190,-0.34782608695652200,0
61,4066.6666666666700,Looking Left,0.7506663617820880,0.018656586541256400,-0.6835790449225830,0.5193136876505400,-0.29375,0
62,4133.333333333330,Looking Left,0.7408795756056990,0.01854078591978250,-0.6830444685839010,0.5289686496286890,-0.2904255319148940,0
63,4200.0,Looking Left,0.6741682389606330,0.0,-0.5975548212701840,0.532154643307451,-0.3640661938534280,0
64,4266.666666666670,Looking Left,0.7556782665478890,0.018077538151554700,-0.6764018738789860,0.5234501858985600,-0.48695652173913000,0
65,4333.333333333330,Looking Left,0.7429454774774660,0.02710634349110470,-0.6626659006951510,0.5270843890232570,-0.5461956521739130,0
66,4400.0,Looking Left,0.7754007268176510,0.0,-0.709156032010557,0.5296544976658980,-0.5177304964539010,0
67,4466.666666666670,Looking Left,0.8020747009883580,0.0,-0.6715864300993800,0.5228177388560010,-0.47777777777777800,0
68,4533.333333333330,Looking Left,0.7534164043983160,0.019447746039610300,-0.6698545424395500,0.5209935681789760,-0.49042553191489400,0
69,4600.0,Looking Left,0.7842027354678570,0.0,-0.6753042868572190,0.5241916854328420,-0.4,0
70,4666.666666666670,Looking Left,0.7547121879506310,0.01972574607881180,-0.645919968747809,0.5249493707506420,-0.5679347826086960,0
71,4733.333333333330,Looking Left,0.7361187904922480,0.018814417367671900,-0.6551612352565310,0.5173715162964230,-0.4148936170212770,0
72,4800.0,Looking Left,0.6948703341411720,0.019086611143795600,-0.672284747501468,0.5318477936217090,-0.4775510204081630,0
73,4866.666666666670,Looking Left,0.7196941097435730,0.0,-0.617748295016198,0.5257433417349010,-0.48541666666666700,0
74,4933.333333333330,Looking Left,0.8182497747562410,0.02762367700861950,-0.6468048057775610,0.5288935104641450,-0.5238095238095240,0
75,5000.0,Looking Left,0.7295885711902810,0.025565499628245700,-0.64050086578325,0.5185318647984140,-0.4308712121212120,0
76,5066.666666666670,Looking Left,0.7273166269638620,0.01847737675347870,-0.633528228534646,0.5268452818851760,-0.5041666666666670,0
77,5133.333333333330,Looking Left,0.6902094692321230,0.0,-0.6497007536076990,0.5212958981096760,-0.4695652173913040,0
78,5200.0,Looking Left,0.7084240836255230,0.01935645013576540,-0.6222432980689320,0.5279033714998170,-0.5283687943262410,0
79,5266.666666666670,Looking Left,0.7286318235741650,0.0,-0.638695021486862,0.5240118961430430,-0.41666666666666700,0
