frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
2,133.33333333333300,Looking Left,0.4269458016430840,0.04865042554105200,-0.5158661878199920,0.4847059095092210,0.5,0
3,200.0,Looking Left,0.5048664612600340,0.02266589100278020,-0.6655296303180860,0.5112480764457730,0.16346153846153800,0
4,266.6666666666670,Looking Left,0.5093718376593130,0.017185276463055100,-0.881826070545744,0.5349709720883530,0.125,0
5,333.3333333333330,Looking Left,0.40293663424373400,0.05543213026043620,-0.8103836687266660,0.5513285876324600,-0.2574074074074070,0
6,400.0,Looking Left,0.4951102398484860,0.0,-0.5927106250410030,0.5572841080684570,-0.2638888888888890,0
7,466.6666666666670,Looking Left,0.5209355330319050,0.01628871900044660,-0.640510256227292,0.532579585900626,-0.1726844583987440,0
8,533.3333333333330,Looking Left,0.49756334722961500,0.055868134919645900,-0.5220133115091670,0.5163895072693580,0.19117647058823500,0
9,600.0,Looking Left,0.4552851145715720,0.021926450482675700,-0.3954983831961490,0.51010101010101,0.11465603190428700,0
10,666.6666666666670,Looking Left,0.24804375233955400,0.016259625244346300,-0.01824258730809620,0.47509219305954500,0.5673730507796880,0
11,733.3333333333330,Looking Left,0.24044961438450400,0.013522777171238500,0.15392465981307700,0.48760535707573500,0.6177723676202070,0
12,800.0,Looking Left,0.22518084591260100,0.0,0.23234562270240800,0.4999698131433300,0.5357771260997070,0
13,866.6666666666670,Forward Pose,0.2217996563547630,0.0,0.28698411913170600,0.5041150158319720,0.5232488822652760,0
14,933.3333333333330,Forward Pose,0.21184038052953400,0.009249352278977780,0.30906434771382800,0.5096464094457230,0.5278720996038480,0
15,1000.0,Forward Pose,0.20511338741425200,0.009164674839210040,0.33592100314505800,0.5109249747912650,0.5032504239683440,0
16,1066.6666666666700,Forward Pose,0.20257978771750500,0.0,0.3484267963576500,0.5150557589934550,0.5069521690767520,0
17,1133.3333333333300,Forward Pose,0.2023837581829050,0.0,0.36281769236627700,0.5123267137864950,0.4983314794215800,0
18,1200.0,Forward Pose,0.20347692881806200,0.0,0.3640276704636630,0.5109196056613300,0.49026696329254700,0
19,1266.6666666666700,Forward Pose,0.19507487902273900,0.009164674839210040,0.3707070772611610,0.5109196056613300,0.49930536260072200,0
20,1333.3333333333300,Forward Pose,0.19464906640437400,0.009081532183730000,0.37411146304956300,0.5151026532963440,0.4983314794215800,0
21,1400.0,Forward Pose,0.19935202830226500,0.0,0.37201224155090600,0.5164347970468470,0.49026696329254700,0
22,1466.6666666666700,Forward Pose,0.19713351730565000,0.0,0.3787768605820050,0.5164347970468470,0.49349179400113200,0
