frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0.0,Looking Left,0.0,0.0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.0,0.0,0.5,0.5,0.5,0
2,133.33333333333300,Looking Left,0.6446825063104580,0.024325212770526000,-0.720276764246372,0.5265151402475680,-0.3825396825396830,0
3,200.0,Looking Left,0.8236863422858330,0.022518867455552200,-1.1076268726899600,0.5040432731586210,-0.9333333333333340,0
4,266.6666666666670,Looking Left,0.9484713602353560,0.02276257268029930,-0.990163440975467,0.5128153570109600,-0.8488372093023260,0
5,333.3333333333330,Looking Left,0.7701323310460620,0.023695618019100700,-0.8789644561890590,0.5189086836358580,-0.5636363636363640,0
6,400.0,Looking Left,0.8863632940041320,0.03569153051241250,-0.8507828783296340,0.5238619699733980,-0.8636363636363640,0
7,466.6666666666670,Looking Left,0.9104232883294420,0.024514516892273000,-0.9722427361600620,0.5247171340759710,-0.8414634146341460,0
8,533.3333333333330,Looking Left,1.18898398170191,0.0258803470681335,-0.9315628193428770,0.5271582634193930,-1.1821705426356600,0
9,600.0,Looking Left,0.8177453133162560,0.033213611069662700,-0.9499606665054620,0.5235175687230580,-1.0833333333333300,0
10,666.6666666666670,Looking Left,1.1394461193804100,0.02599376224550180,-0.964610279043721,0.5197776981890520,-1.3636363636363600,0
11,733.3333333333330,Looking Left,0.8790721681918510,0.025237723256253400,-0.9328528638962020,0.528182727835582,-1.1104651162790700,0
12,800.0,Looking Left,0.8476904002259080,0.0,-0.9978214964934020,0.5191001012245300,-0.9786585365853660,0
13,866.6666666666670,Looking Left,0.8950916960025640,0.03735871267082810,-0.9309788073985630,0.5266463470957590,-0.9854651162790700,0
14,933.3333333333330,Looking Left,0.9071666035179910,0.024625761678892600,-1.0553692696319500,0.5116171252092450,-1.0333333333333300,0
15,1000.0,Looking Left,1.0204653343752700,0.026678526425610400,-1.0386498432400200,0.5129028328765710,-1.1785714285714300,0
16,1066.6666666666700,Looking Left,0.962125194306653,0.0258803470681335,-0.9157127618279540,0.5188827024144530,-1.2354651162790700,0
17,1133.3333333333300,Looking Left,1.1821332448419900,0.03512557889077550,-0.9782909636554340,0.5156007930490410,-1.1821705426356600,0
18,1200.0,Looking Left,0.8044799076937280,0.03466876226407680,-0.9632419486019030,0.5151054863259600,-0.9854651162790700,0
19,1266.6666666666700,Looking Left,0.9083193576711530,0.025118017965166400,-0.9790913065447120,0.5151054863259600,-1.5357142857142900,0
20,1333.3333333333300,Looking Left,0.8864259055188040,0.024514516892273000,-0.9616323137820600,0.5148483568286170,-0.8571428571428570,0
21,1400.0,Looking Left,1.0318463720389600,0.03482608615005760,-0.9328528638962020,0.5222860403806930,-1.1104651162790700,0
