frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raised_flag
0,0,Looking Left,0,0,0.5,0.5,0.5,0
1,66.66666666666670,Looking Left,0.7873636622331460,0.046311684464748900,-0.735850553,0.49752861391811400,-0.461065574,0
2,133.33333333333300,Looking Left,0.6270901571185640,0.032794818,-0.744270129,0.4879076026665330,-0.401851852,0
3,200,Looking Left,0.6078795379632900,0.012959718994867600,-0.725274725,0.47753991550603800,-0.220454545,0
4,266.6666666666670,Looking Left,0.6894142581663740,0.019822394114938200,-0.695149309,0.4770117113074190,-0.085763293,0
5,333.3333333333330,Looking Left,0.6659780048114060,0.019549678984688100,-0.670061117,0.47824611082839700,0.020454545454545400,0
6,400,Looking Left,0.656162603,0.013840913308956700,-0.666070247,0.4820405141944410,-0.006734007,0
7,466.6666666666670,Looking Left,0.7338220540633990,0.029689149,-0.726657257,0.4773695909799300,-0.310314685,0
8,533.3333333333330,Looking Left,0.6661818467088070,0,-0.680331031,0.48849479452154100,-0.127192982,0
9,600,Looking Left,0.7264607859573470,0.020102786992294100,-0.652070855,0.4799387844548210,-0.152777778,0
10,666.6666666666670,Looking Left,0.7212925710700300,0.015108223,-0.715563253,0.4816923386131840,-0.565359477,0
11,733.3333333333330,Looking Left,0.6242815195242050,0.012803687993289600,-0.673538966,0.4865151140692660,-0.259649123,0
12,800,Looking Left,0.7157301443211460,0.019574007317156800,-0.734257727,0.48366831734198100,-0.201257862,0
13,866.6666666666670,Looking Left,0.7092162962059230,0.019822394114938200,-0.722424029,0.4766136510183520,-0.300699301,0
14,933.3333333333330,Looking Left,0.6134209864810970,0.012632950799338200,-0.69262379,0.489791883,-0.102272727,0
15,1000,Looking Left,0.735951261,0.032134579,-0.675192511,0.48287781826281000,-0.143162393,0
16,1066.6666666666700,Looking Left,0.7655959215133890,0.019257495,-0.699343662,0.4799949581123890,-0.392592593,0
17,1133.3333333333300,Looking Left,0.6374572006719150,0,-0.677000697,0.4813421602544230,-0.045454545,0
18,1200,Looking Left,0.7578769755824080,0.02,-0.747193826,0.4844645507003480,-0.510781671,0
19,1266.6666666666700,Looking Left,0.7402380443409330,0.013085598064755300,-0.655497703,0.486095209,-0.113636364,0
20,1333.3333333333300,Looking Left,0.6815802093256750,0.013803940759355800,-0.691074595,0.4856093163481320,-0.236111111,0
21,1400,Looking Left,0.7875531502940190,0.014214817002999800,-0.757232931,0.4780293156408690,-0.408490566,0
22,1466.6666666666700,Looking Left,0.6772823931027950,0.012621876767740800,-0.706457797,0.49108251038138800,-0.170689655,0
23,1533.3333333333300,Looking Left,0.8045124592789850,0.019958131838645300,-0.690672059,0.48097948999044000,-0.189858491,0
24,1600,Looking Left,0.7901124052025460,0.020072391,-0.683330942,0.4804685565721710,-0.407407407,0
25,1666.6666666666700,Looking Left,0.6484134359379390,0.028223374456293800,-0.680267787,0.48718098380826300,-0.09569378,0
26,1733.3333333333300,Looking Left,0.7254761019437590,0.019760376304381100,-0.648020085,0.4804822388764350,0.020964361,0
27,1800,Looking Left,0.8009788792470880,0.032710495,-0.68204256,0.47550006000255800,-0.582222222,0
28,1866.6666666666700,Looking Left,0.7093377080576080,0.027563274353157400,-0.687359409,0.48555719310469600,-0.050877193,0
29,1933.3333333333300,Looking Left,0.70679022,0.013652592788242300,-0.659243276,0.486718835,-0.016071429,0
30,2000,Looking Left,0.7538311239307720,0.019257495,-0.701678354,0.48697472971952100,-0.298989899,0
31,2066.6666666666700,Looking Left,0.706430559,0,-0.669826652,0.48561956016092200,-0.007142857,0
32,2133.3333333333300,Looking Left,0.6757040993913690,0.013636081902044700,-0.679889925,0.4847940063116780,-0.177830941,0
33,2200,Looking Left,0.6704092676302620,0.012782749814122800,-0.634387009,0.48620269570146700,-0.077192982,0
34,2266.6666666666700,Looking Left,0.7323645439236200,0.01952172,-0.697916792,0.4865334766725370,-0.18287037,0
35,2333.3333333333300,Looking Left,0.7578288031639840,0.013803940759355800,-0.729668641,0.4857709302360740,-0.304545455,0
36,2400,Looking Left,0.6479831006333970,0.012794253088668600,-0.642648069,0.4844813951249540,-0.007053292,0
37,2466.666666666670,Looking Left,0.7983779344589030,0.028685814463778400,-0.693151313,0.48324087330776100,-0.617924528,0
38,2533.333333333330,Looking Left,0.667120938,0,-0.648779097,0.48287781826281000,0.051948052,0
39,2600,Looking Left,0.7487660592674420,0.013290870380481700,-0.678712398,0.4891259894960840,0.02281746,0
40,2666.6666666666700,Looking Left,0.6433683172803270,0.013823711,-0.702046603,0.48924270125158300,-0.143849206,0
41,2733.3333333333300,Looking Left,0.6948441446737260,0.019822394114938200,-0.69290777,0.4881385315374460,-0.181818182,0
42,2800,Looking Left,0.7373424519833650,0.013482771598464800,-0.666440725,0.4873933238117520,-0.016071429,0
43,2866.6666666666700,Looking Left,0.6464973718047360,0,-0.663230778,0.49081969746898700,-0.132376396,0
