,precision,recall,f1-score,support
Gaze Left,1.000,1.000,1.000,105.000
Gaze Right,1.000,1.000,1.000,116.000
Gaze Center,1.000,1.000,1.000,117.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,338.000
weighted avg,1.000,1.000,1.000,338.000
