,precision,recall,f1-score,support
Smile,1.000,1.000,1.000,1637.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,1637.000
weighted avg,1.000,1.000,1.000,1637.000
