,precision,recall,f1-score,support
Gaze Left,0.999,0.990,0.995,2261.000
Gaze Right,1.000,0.998,0.999,2333.000
Gaze Center,0.989,0.999,0.994,2357.000
accuracy,0.996,0.996,0.996,0.996
macro avg,0.996,0.996,0.996,6951.000
weighted avg,0.996,0.996,0.996,6951.000
