,precision,recall,f1-score,support
Forward Pose,1.000,1.000,1.000,120.000
Looking Left,1.000,1.000,1.000,12.000
Looking Right,0.000,0.000,0.000,0.000
accuracy,1.000,1.000,1.000,1.000
macro avg,0.667,0.667,0.667,132.000
weighted avg,1.000,1.000,1.000,132.000
