,precision,recall,f1-score,support
Gaze Left,1.000,1.000,1.000,109.000
Gaze Right,1.000,1.000,1.000,114.000
Gaze Center,1.000,1.000,1.000,116.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,339.000
weighted avg,1.000,1.000,1.000,339.000
