,precision,recall,f1-score,support
Gaze Left,1.000,1.000,1.000,112.000
Gaze Right,1.000,1.000,1.000,115.000
Gaze Center,1.000,1.000,1.000,119.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,346.000
weighted avg,1.000,1.000,1.000,346.000
