,precision,recall,f1-score,support
Forward Pose,1.000,1.000,1.000,128.000
Looking Left,1.000,1.000,1.000,99.000
Looking Right,1.000,1.000,1.000,122.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,349.000
weighted avg,1.000,1.000,1.000,349.000
