,precision,recall,f1-score,support
Looking Up,0.993,1.000,0.997,145.000
Looking Down,1.000,0.929,0.963,14.000
accuracy,0.994,0.994,0.994,0.994
macro avg,0.997,0.964,0.980,159.000
weighted avg,0.994,0.994,0.994,159.000
