,precision,recall,f1-score,support
Gaze Left,1.000,1.000,1.000,94.000
Gaze Right,1.000,1.000,1.000,95.000
Gaze Center,1.000,1.000,1.000,118.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,307.000
weighted avg,1.000,1.000,1.000,307.000
