,precision,recall,f1-score,support
Looking Up,0.000,0.000,0.000,0.000
Looking Down,1.000,1.000,1.000,148.000
accuracy,1.000,1.000,1.000,1.000
macro avg,0.500,0.500,0.500,148.000
weighted avg,1.000,1.000,1.000,148.000
