frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0.000000,Looking Left,0.475476,0.018885,-0.399056,0.436232,-0.020455,-2.1621119123338857,0.4501551950275552,-0.001677814562504629,0.2566226436429633,-1.7615490125531308
1,66.666667,Looking Left,0.400528,0.021791,-0.693356,0.427120,-0.214115,-2.2518872382648434,0.5244844006240044,0.022559171350802106,0.2220544537364878,-2.368454760521578
2,133.333333,Looking Left,0.460014,0.019104,-0.714886,0.468940,-0.697205,-2.244354985612219,0.5419660419299712,0.013527122015353195,0.24911094089315935,-2.4209990543945565
3,200.000000,Looking Left,0.407222,0.018107,-0.689063,0.462409,-0.315686,-2.2714145651033464,0.5216562053542868,0.014916404057398016,0.2217181779994174,-2.3720835151880317
4,266.666667,Looking Left,0.465137,0.000000,-0.701715,0.470539,-0.468750,-2.269253911956035,0.5207425946701955,0.013233920425576279,0.23256863327917343,-2.3980360942323604
5,333.333333,Looking Left,0.451690,0.017150,-0.715183,0.471605,-0.459384,-2.276589092062544,0.5222192434943892,0.010381232914874887,0.24299472155695978,-2.4254031511368486
6,400.000000,Looking Left,0.391421,0.000000,-0.657357,0.465392,-0.524733,-2.2749134918706106,0.519876721060915,0.014916404057398016,0.1957103822166747,-2.3096339247013233
7,466.666667,Looking Left,0.392118,0.036268,-0.821008,0.486419,-0.283007,-2.2271735979416527,0.5411692265405422,0.005860467746992603,0.2323267068525639,-2.6389545295038124
8,533.333333,Looking Left,0.477247,0.018036,-0.835262,0.482280,-0.411111,-2.1936250361047342,0.5431015578263149,0.005917548256966022,0.25665986528500895,-2.6648826574791697
9,600.000000,Looking Left,0.459006,0.000000,-0.683957,0.464864,-0.420455,-2.0612716838638603,0.5244677677651667,0.013496059725756153,0.22950313835444744,-2.3605603185652755
10,666.666667,Looking Left,0.343341,0.017477,-0.638594,0.443908,-0.487745,-1.899812165862048,0.5355052970259117,0.021283282169241136,0.18914702405186018,-2.2692895149078582
11,733.333333,Looking Left,0.364014,0.017756,-0.755629,0.461071,-0.411111,-1.9561649570271729,0.5357263683520058,0.007436623708271244,0.1997623219441599,-2.5061700229595294
12,800.000000,Looking Left,0.435239,0.000000,-0.817299,0.469200,-0.455556,-1.93888411259262,0.5459072113167516,0.0014662504409519764,0.21761930969173768,-2.6320898465210174
13,866.666667,Looking Left,0.458381,0.000000,-0.832005,0.461971,-0.677536,-2.1093067882032064,0.5424870520439934,0.010233524417991443,0.2291905530448863,-2.6597944352464986
14,933.333333,Looking Left,0.444189,0.000000,-0.847477,0.462904,-0.475064,-2.2011364157952937,0.5324816350360719,0.012938301390861238,0.22209434429568933,-2.689237611534338
15,1000.000000,Looking Left,0.469757,0.017150,-0.777449,0.464703,-0.606283,-2.2044065595247053,0.5235664396367257,0.011474136951238008,0.2520281926243076,-2.5490119515086644
16,1066.666667,Looking Left,0.501213,0.000000,-0.764662,0.481902,-0.614894,-2.2380205795033223,0.5316615598443147,0.008454428281173734,0.2506064902496677,-2.524599071421075
17,1133.333333,Looking Left,0.527985,0.000000,-0.670768,0.471866,-0.598750,-2.2776330589833766,0.5310861780844551,0.011439175089056102,0.2639927108635015,-2.3309187706274193
18,1200.000000,Looking Left,0.511370,0.049386,-0.542794,0.450492,-0.895000,-2.2985632099637896,0.47844112496373736,0.008553641525744874,0.3050713227550533,-2.067002769933035
19,1266.666667,Looking Left,0.472797,0.156787,-0.306209,0.435743,-0.600000,-2.3181155249862533,0.4296705286305652,-0.00441631325307194,0.39318545727240584,-1.5913603729180774
20,1333.333333,Looking Left,0.537867,0.044579,-0.240262,0.436485,-0.736735,-2.332684414759287,0.38993783605172594,-0.01474611914779102,0.31351219745718323,-1.4557021521677518
21,1400.000000,Looking Left,0.401612,0.023541,-0.172326,0.438154,0.219406,-2.3453213751125537,0.36443469806960405,-0.01050369269708864,0.22434675360968645,-1.3320347979012999
22,1466.666667,Looking Left,0.328170,0.072291,-0.118905,0.432010,0.606491,-2.4025522357978764,0.34796556171158255,-0.01838338484340869,0.23637548974741907,-1.2347833566593787
23,1533.333333,Looking Left,0.289974,0.081976,-0.079886,0.433627,0.468202,-2.327099700077874,0.3400258078259865,-0.011078057433902664,0.22696305448867293,-1.1583537334262788
24,1600.000000,Looking Left,0.289527,0.173706,0.064538,0.426023,0.291667,-2.1003802336746222,0.2707980699640265,-0.013210028104034436,0.318470092836042,-0.8691086643328115
25,1666.666667,Looking Left,0.342975,0.055422,0.161597,0.435184,0.357323,-2.063263294243815,0.21349299101717667,-0.006853294903209174,0.22690974994924012,-0.6725916962692295
26,1733.333333,Looking Left,0.351578,0.051177,0.164596,0.431386,0.442188,-2.070780672246958,0.21544637802976194,-0.006957837144595369,0.22696621798623695,-0.6670480460092834
27,1800.000000,Looking Left,0.344182,0.074614,0.156192,0.436783,0.431287,-2.1342396166267985,0.21590517497899137,-0.005241392184975979,0.2467051135697135,-0.6827840167303856
28,1866.666667,Looking Left,0.307634,0.065653,0.057484,0.454367,0.569182,-2.1718721344481806,0.2631960473935481,-0.005324608648990404,0.21947012488637602,-0.8766322475704279
29,1933.333333,Looking Left,0.464019,0.255251,-0.235986,0.444798,0.343552,-2.1802521337705887,0.4010990846070229,0.02135028533660895,0.4872609211838106,-1.4653087357217491
30,2000.000000,Looking Left,0.666895,0.537484,-0.491944,0.437767,-0.025692,-2.1919608182089108,0.5103810803020111,0.014008553081677961,0.8709313695302101,-1.9794873444396008
31,2066.666667,Looking Left,0.518459,0.055884,-0.538424,0.448699,-0.068841,-2.186733850976362,0.5184839774121002,0.003399237568533351,0.31511381768666313,-2.0767776544976835
32,2133.333333,Looking Left,0.503069,0.021272,-0.624403,0.446873,-0.334188,-2.1848582926079287,0.5215581167801603,0.011416470012545319,0.27280647300513006,-2.247849765957376
33,2200.000000,Looking Left,0.476279,0.019199,-0.699516,0.448782,-0.326190,-2.140879016382332,0.5326186404887174,0.016027946328349734,0.2573382901383074,-2.3964916814115065
34,2266.666667,Looking Left,0.443520,0.000000,-0.773044,0.450480,-0.346591,-2.157950260957376,0.5425627320570733,0.006170958689704387,0.22176011122284128,-2.5418725144720233
35,2333.333333,Looking Left,0.471404,0.000000,-0.815201,0.455120,-0.485271,-2.182696325885379,0.5497827847985113,0.013838098977779913,0.23570187218303304,-2.6260175570677604
36,2400.000000,Looking Left,0.519276,0.019548,-0.838513,0.471946,-0.440476,-2.214177958427402,0.5358926626473988,0.013527122015353195,0.279185744743271,-2.6736184521297375
37,2466.666667,Looking Left,0.451068,0.018405,-0.803522,0.468974,-0.357843,-2.2389747038505208,0.5290737133325754,0.01503122221281509,0.24393902159384523,-2.59963101801178
38,2533.333333,Looking Left,0.464155,0.000000,-0.793754,0.471151,-0.516667,-2.2575845512472084,0.5127972147265624,0.011633364345581184,0.23207736612493424,-2.58306352894584
39,2600.000000,Looking Left,0.448217,0.000000,-0.771217,0.452587,-0.350267,-2.3318058984485006,0.5244180848082016,0.007347191515901303,0.22410843682711978,-2.533997487203141
40,2666.666667,Looking Left,0.474874,0.000000,-0.820114,0.466301,-0.440476,-2.3385923986049844,0.5255906102927311,0.010074414294433781,0.23743680426676125,-2.6323004635267253
