frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,,0,0,0.5,0.5,0.5,-1.591189312,,,,-0.385093338
1,66.666667,Looking Left,0.247659,0.027269,0.105567,0.45123,0.40788,-1.740475379,0.240356003,0.026542941,0.151098416,-0.751151753
2,133.333333,Looking Left,0.305384,0.012195,-0.076564,0.478775,0.193878,-1.791607322,0.316530959,0.007823127,0.164887142,-1.107928279
3,200,Looking Left,0.334989,0.024913,-0.139573,0.463425,0.456731,-1.806944933,0.344712729,0.010331138,0.192407028,-1.225626057
4,266.666667,Looking Left,0.305473,0.26203,-0.09433,0.428108,0.305806,-1.822381644,0.331534787,0.026756742,0.414766958,-1.15247202
5,333.333333,Looking Left,0.370967,0.10302,-0.19339,0.437641,0.171429,-2.130346891,0.358312496,0.026523706,0.288504102,-1.349430336
6,400,Looking Left,0.406429,0.038685,-0.178809,0.438768,0.098519,-2.110667037,0.34175366,0.011413052,0.241899931,-1.319782393
7,466.666667,Looking Left,0.35087,0.344969,0.130756,0.399482,0.703035,-2.098266029,0.204054474,-0.01633104,0.520403428,-0.710986271
8,533.333333,Looking Left,0.401747,0.282103,-0.153032,0.438237,0.042784,-2.122492247,0.362718598,0.01259302,0.482976946,-1.283975437
9,600,Looking Left,0.414223,0.143809,-0.182537,0.432116,-0.020468,-2.157398925,0.374075073,0.03557056,0.350920148,-1.337280529
10,666.666667,Looking Left,0.333137,0.013418,-0.242026,0.449834,0.075109,-2.175873459,0.407648613,0.032741084,0.179986811,-1.456400088
11,733.333333,Looking Left,0.296252,0.021396,-0.405515,0.473456,0.225367,-2.192181821,0.4748682,0.022762311,0.16952182,-1.797947838
12,800,Looking Left,0.338112,0.015385,-0.37651,0.461003,0.208689,-2.172034636,0.461329027,0.03114887,0.184440781,-1.728973217
13,866.666667,Looking Left,0.328272,0.014827,-0.373941,0.458974,0.107451,-2.168502579,0.468361193,0.034580254,0.178962498,-1.719155703
14,933.333333,Looking Left,0.345407,0,-0.344802,0.457106,0.229984,-2.172793505,0.455773736,0.036504993,0.172703294,-1.660879239
15,1000,Looking Left,0.307889,0.015262,-0.384557,0.455874,0.104167,-2.187590667,0.47057529,0.029663032,0.16920659,-1.737807629
16,1066.666667,Looking Left,0.293922,0.015325,-0.344766,0.445463,0.173077,-2.177943086,0.449394998,0.031151288,0.162285836,-1.655847142
17,1133.333333,Looking Left,0.299138,0.015555,-0.361924,0.453105,0.152032,-2.172311082,0.457265835,0.031248627,0.165123689,-1.692240111
18,1200,Looking Left,0.290719,0.015792,-0.333325,0.446486,0.050833,-2.168633276,0.442947575,0.028298389,0.16115119,-1.632313718
19,1266.666667,Looking Left,0.29258,0.015555,-0.325746,0.44963,0.074415,-2.171877745,0.441625297,0.025154124,0.161845111,-1.619005723
20,1333.333333,Looking Left,0.266857,0.016169,-0.31899,0.447941,0.252593,-2.171382892,0.446528453,0.029967858,0.149597778,-1.609231912
21,1400,Looking Left,0.304544,0.015555,-0.345193,0.462244,0.146538,-2.1740626,0.451299924,0.029872885,0.167826777,-1.657900755
22,1466.666667,Looking Left,0.287179,0.015857,-0.350482,0.450785,0.292386,-2.176708143,0.45788704,0.034919931,0.15944672,-1.669658311
23,1533.333333,Looking Left,0.313534,0,-0.373011,0.460568,0.206667,-2.171624136,0.464258222,0.031545741,0.156767209,-1.712905356
24,1600,Looking Left,0.306645,0,-0.403805,0.457678,0.226066,-2.173693566,0.473721217,0.031347808,0.153322534,-1.774750068
25,1666.666667,Looking Left,0.352753,0.016358,-0.382022,0.45256,0.054545,-2.192261307,0.464993884,0.029856357,0.192734597,-1.731503584
26,1733.333333,Looking Left,0.291334,0.015857,-0.387096,0.452523,0.162642,-2.226519482,0.465047663,0.030062689,0.161524023,-1.739418358
27,1800,Looking Left,0.286218,0.015857,-0.396906,0.449286,0.083333,-2.229680978,0.475433358,0.026893887,0.158966207,-1.761271554
28,1866.666667,Looking Left,0.29593,0.032853,-0.368103,0.452529,0.163462,-2.2293656,0.463167296,0.031645411,0.180817927,-1.703089279
29,1933.333333,Looking Left,0.296901,0.023888,-0.421907,0.45555,0.107633,-2.224202254,0.479561867,0.034798977,0.172338072,-1.809626321
30,2000,Looking Left,0.327658,0,-0.424548,0.450961,0.063811,-2.22003624,0.478292832,0.028382131,0.163828979,-1.815838961
31,2066.666667,Looking Left,0.327659,0.016621,-0.418866,0.460339,0.059091,-2.219376518,0.479812926,0.031530057,0.180450109,-1.806675793
32,2133.333333,Looking Left,0.30731,0.016169,-0.433468,0.452421,0.163636,-2.212764491,0.481805315,0.028474027,0.169824291,-1.837078351
33,2200,Looking Left,0.310984,0.021126,-0.488722,0.453877,0.013889,-2.207782711,0.50687956,0.029943286,0.176618252,-1.949690258
34,2266.666667,Looking Left,0.333512,0,-0.470537,0.461817,0.148106,-2.207978694,0.499089077,0.03141611,0.166755842,-1.918344038
35,2333.333333,Looking Left,0.338111,0.016231,-0.434642,0.453309,0.158654,-2.192237116,0.487881139,0.026944916,0.185286304,-1.845949727
36,2400,Looking Left,0.314809,0.015919,-0.456824,0.449963,0.231187,-2.188360259,0.496579258,0.025529806,0.173323868,-1.889590121
37,2466.666667,Looking Left,0.296331,0.015385,-0.44117,0.453154,0.147843,-2.187355109,0.495813466,0.027125419,0.16354987,-1.855956092
38,2533.333333,Looking Left,0.330332,0.015857,-0.424345,0.464341,0.205,-2.17249009,0.489103867,0.032023496,0.181022912,-1.823674294
39,2600,Looking Left,0.294762,0,-0.402368,0.447008,0.139291,-2.159020505,0.481482668,0.033525629,0.147381123,-1.773400001
40,2666.666667,Looking Left,0.295017,0.015792,-0.379689,0.446122,0.198182,-2.15313239,0.473034974,0.030057873,0.163300228,-1.728072012
41,2733.333333,Looking Left,0.297369,0.016104,-0.396906,0.450785,0.176364,-2.14929255,0.47644078,0.028570853,0.164788285,-1.761271554
42,2800,Looking Left,0.337954,0.016358,-0.413299,0.461634,-0.000874,-2.142943031,0.480205766,0.036612323,0.185335265,-1.794322018
43,2866.666667,Looking Left,0.304756,0,-0.370779,0.453886,0.160628,-2.141410845,0.463690117,0.031740274,0.152378244,-1.710525346
