frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,,0,0,0.5,0.5,0.5,-1.973454643,,,,-0.526234812
1,66.666667,,0,0,0.5,0.5,0.5,-1.549798685,,,,-0.526234812
2,133.333333,Looking Left,0.426946,0.04865,-0.515866,0.484706,0.5,-1.878634568,0.468960422,-0.015737205,0.262123326,-1.964928513
3,200,Looking Left,0.504866,0.022666,-0.66553,0.511248,0.163462,-1.996969473,0.499287937,-0.002921418,0.275099122,-2.230108059
4,266.666667,Looking Left,0.509372,0.017185,-0.881826,0.534971,0.125,-2.140826985,0.55110511,0.013859352,0.271871195,-2.682477907
5,333.333333,Looking Left,0.402937,0.055432,-0.810384,0.551329,-0.257407,-2.043434576,0.55027297,0.030778052,0.256900447,-2.567159454
6,400,Looking Left,0.49511,0,-0.592711,0.557284,-0.263889,-2.112771109,0.469741631,0.002604131,0.24755512,-2.125214674
7,466.666667,Looking Left,0.520936,0.016289,-0.64051,0.53258,-0.172684,-2.215408217,0.472101458,0,0.276756486,-2.214645632
8,533.333333,Looking Left,0.497563,0.055868,-0.522013,0.51639,0.191176,-2.226772493,0.464526927,0.005062642,0.304649809,-2.001051027
9,600,Looking Left,0.455285,0.021926,-0.395498,0.510101,0.114656,-2.282643961,0.440174506,0.001262626,0.249569008,-1.766559445
10,666.666667,Looking Left,0.248044,0.01626,-0.018243,0.475092,0.567373,-2.289181645,0.298959699,0.001305198,0.140281501,-1.025233407
11,733.333333,Looking Left,0.24045,0.013523,0.153925,0.487605,0.617772,-2.231590971,0.21403515,0.002739356,0.133747584,-0.684109599
12,800,Looking Left,0.225181,0,0.232346,0.49997,0.535777,-2.163336946,0.168159725,0,0.112590423,-0.532037803
13,866.666667,Forward Pose,0.2218,0,0.286984,0.504115,0.523249,-2.108121466,0.134936848,0,0.110899828,-0.423802129
14,933.333333,Forward Pose,0.21184,0.009249,0.309064,0.509646,0.527872,-2.074144023,0.12097697,0.002769817,0.115169543,-0.379611644
15,1000,Forward Pose,0.205113,0.009165,0.335921,0.510925,0.50325,-2.0608276,0.10445846,0.002761757,0.111721369,-0.325943152
16,1066.666667,Forward Pose,0.20258,0,0.348427,0.515056,0.506952,-2.047072918,0.096454758,0.001377154,0.101289894,-0.301523189
17,1133.333333,Forward Pose,0.202384,0,0.362818,0.512327,0.498331,-2.025498535,0.087528185,0.001377222,0.101191879,-0.27294542
18,1200,Forward Pose,0.203477,0,0.364028,0.51092,0.490267,-2.012083141,0.086337937,0,0.101738464,-0.270515975
19,1266.666667,Forward Pose,0.195075,0.009165,0.370707,0.51092,0.499305,-2.010797032,0.082116582,0.00137344,0.106702114,-0.257157162
20,1333.333333,Forward Pose,0.194649,0.009082,0.374111,0.515103,0.498331,-2.01109221,0.080546077,-0.00137728,0.106406065,-0.250521069
21,1400,Forward Pose,0.199352,0,0.372012,0.516435,0.490267,-2.006446475,0.081732537,0.001373497,0.099676014,-0.254711084
22,1466.666667,Forward Pose,0.197134,0,0.378777,0.516435,0.493492,-2.007191016,0.077543368,-0.001373497,0.098566759,-0.241344548
23,1533.333333,Forward Pose,0.202736,0,0.382129,0.51226,0.498331,-2.004180609,0.074850834,0.001369678,0.10136786,-0.234640533
24,1600,Forward Pose,0.197233,0,0.380854,0.519199,0.493492,-2.002613652,0.076776483,0.002747087,0.098616468,-0.237198323
25,1666.666667,Forward Pose,0.19489,0,0.384194,0.516452,0.497775,-2.000722886,0.074303014,-0.001373543,0.097445239,-0.23051668
26,1733.333333,Forward Pose,0.176291,0,0.378014,0.517875,0.536085,-2.005677931,0.078069631,0.001377327,0.088145711,-0.24300899
27,1800,Forward Pose,0.164518,0.009423,0.384764,0.519305,0.528265,-2.026318588,0.07420364,-0.001381131,0.091682534,-0.22950849
28,1866.666667,Forward Pose,0.16558,0,0.38689,0.519223,0.523081,-2.025405326,0.072823769,0.001373606,0.082790139,-0.225405315
29,1933.333333,Forward Pose,0.16593,0.009253,0.388195,0.524854,0.527611,-2.022435549,0.073124234,0,0.092218145,-0.222789967
30,2000,Forward Pose,0.196381,0.009253,0.385594,0.520659,0.505472,-2.02123157,0.074110069,0,0.107443268,-0.228003135
31,2066.666667,Forward Pose,0.19541,0.009088,0.388947,0.519213,0.506396,-2.019206421,0.07168534,0,0.106792329,-0.221297161
32,2133.333333,Forward Pose,0.208332,0.009339,0.388997,0.524854,0.48979,-2.018283916,0.072930341,-0.001381194,0.113505138,-0.221325778
