frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,Looking Left,0,0,0.5,0.5,0.5,-2.090689604,,,,-0.136950904
1,66.666667,Looking Left,0.404245,0.014017,-0.173376,0.510036,0.616667,-2.111129259,0.382695756,0.013818703,0.216139291,-1.340048951
2,133.333333,Looking Left,0.315676,0.020185,-0.163468,0.511631,0.565456,-2.130448298,0.37733604,0.020908011,0.178022563,-1.325514946
3,200,Looking Left,0.306256,0.031915,-0.182654,0.513481,0.561683,-2.154223049,0.381163011,0.015669612,0.185042448,-1.364531261
4,266.666667,Looking Left,0.292019,0.020494,-0.185544,0.509844,0.571429,-2.161769926,0.383000179,0.020441849,0.166503366,-1.370170829
5,333.333333,Looking Left,0.287531,0.013877,-0.193339,0.513481,0.561683,-2.125749316,0.387122519,0.018080322,0.157642507,-1.385593464
6,400,Looking Left,0.284262,0.020195,-0.189653,0.510035,0.570487,-2.125364483,0.385690331,0.019337836,0.162325713,-1.377664774
7,466.666667,Looking Left,0.259008,0.03288,-0.171113,0.511269,0.479744,-2.12778768,0.376880674,0.015749999,0.16238355,-1.340388928
8,533.333333,Looking Left,0.276484,0.028973,-0.191816,0.51132,0.406603,-2.099110016,0.385993926,0.018261423,0.167215262,-1.382525222
9,600,Looking Left,0.331166,0.03288,-0.190498,0.516396,0.386364,-2.096790131,0.387409075,0.015832904,0.198462785,-1.380214917
10,666.666667,Looking Left,0.339158,0.020788,-0.191156,0.51752,0.396154,-2.100161896,0.387435755,0.014646786,0.190367512,-1.38137585
11,733.333333,Looking Left,0.349126,0.021087,-0.191156,0.515214,0.409091,-2.097973164,0.387431583,0.014650628,0.195649784,-1.38137585
12,800,Looking Left,0.314913,0.032869,-0.200568,0.517739,0.38589,-2.095960466,0.391169833,0.01472243,0.190325452,-1.400331851
13,866.666667,Looking Left,0.363339,0.014681,-0.217533,0.517684,0.393466,-2.100161676,0.398885229,0.013558401,0.196349862,-1.434243324
14,933.333333,Looking Left,0.359897,0.021755,-0.173775,0.517993,0.388811,-2.099133069,0.381942738,0.014942118,0.201703053,-1.346756899
15,1000,Looking Left,0.337632,0.020195,-0.195464,0.518976,0.39627,-2.093045599,0.388615833,0.012415704,0.189010638,-1.390377381
