frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,,0,0,0.5,0.5,0.5,-0.496357473,,,,-0.077901677
1,66.666667,,0,0,0.5,0.5,0.5,0.077572302,,,,-0.077901677
2,133.333333,Looking Left,0.281153,0.0222,-0.342543,0.519408,0.668182,0.092517413,0.439695131,0.021823868,0.162776818,-1.68416831
3,200,Looking Left,0.308702,0.060346,-0.397877,0.557577,0.710784,-0.227282595,0.413225304,-0.02212606,0.214697083,-1.769281461
4,266.666667,Looking Left,0.282353,0.024807,-0.308583,0.570695,0.607143,-0.444519946,0.393684298,-0.020063511,0.165983654,-1.582474607
5,333.333333,,0,0,0.5,0.5,0.5,-0.221231932,,,,-1.582474607
6,400,Looking Left,0.316475,0.027682,-0.170801,0.538395,0.725718,-0.129416932,0.398094467,-0.004641333,0.18591915,-1.341100803
7,466.666667,Looking Left,0.253442,0.030715,-0.358169,0.512485,0.626136,0.162717515,0.451665503,0.027701882,0.157435832,-1.716226762
8,533.333333,Looking Left,0.307715,0.076898,-0.373441,0.534557,0.644144,0.099744752,0.429865914,0.004608246,0.230755451,-1.7373129
9,600,Looking Left,0.222732,0.053179,-0.23326,0.54891,0.786378,-0.101599146,0.382900986,0,0.164545519,-1.457874656
10,666.666667,Looking Left,0.31722,0.032067,-0.283133,0.553781,0.621032,-0.175438332,0.393764566,0.004326411,0.190676727,-1.557231792
11,733.333333,Looking Left,0.433632,0.053,-0.282355,0.565504,0.613636,-0.218014078,0.358967579,-0.023562654,0.269816065,-1.544645925
12,800,Looking Left,0.407181,0.075101,-0.259474,0.558646,0.611111,-0.242554614,0.366103566,-0.008400692,0.278691566,-1.503422614
13,866.666667,Looking Left,0.398357,0.055745,-0.193879,0.572018,0.587104,-0.243301291,0.341421054,-0.006042446,0.254923646,-1.371512189
14,933.333333,,0,0,0.5,0.5,0.5,-0.240802711,,,,-1.371512189
15,1000,Looking Left,0.610452,0.019514,-0.368431,0.545841,-0.494444,-0.252050113,0.406693969,0.014270342,0.324740212,-1.721578396
16,1066.666667,Looking Left,0.396611,0.018855,-0.366634,0.54628,0.472431,-0.297907193,0.405177419,0.007003589,0.217159789,-1.73317928
17,1133.333333,Looking Left,0.457743,0.019231,-0.33054,0.544156,0.143162,-0.329951767,0.404879765,0.007066961,0.24810239,-1.659058422
18,1200,,0.501563,0,-0.292889,0.55665,0.131994,-0.32995566,0.40698501,0.008863855,0.250781627,-1.583989079
19,1266.666667,,0.478401,0,-0.284426,0.551957,0.235366,-0.33810421,0.40185422,0.008960343,0.239200294,-1.567367081
20,1333.333333,,0.455751,0,-0.367367,0.553568,0.119658,-0.338686757,0.422763478,0.007142812,0.227875475,-1.733716777
21,1400,,0.454574,0,-0.367912,0.551968,0.203216,-0.344629255,0.417826818,0.007168413,0.227287187,-1.734441493
22,1466.666667,,0.453307,0,-0.351979,0.550345,0.221323,-0.348277881,0.419346787,0.008992573,0.226653475,-1.702297593
23,1533.333333,,0.509245,0,-0.338743,0.546415,0.104412,-0.341881051,0.410417018,0.008928344,0.254622726,-1.674540226
