frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,Looking Left,0.457956,0.032393,-0.236193,0.534266,-0.237705,-0.559046613,0.412419092,0.015969894,0.26137104,-1.468690651
1,66.666667,Looking Left,0.427315,0.015473,-0.303416,0.543769,0.112069,-0.299539566,0.448028663,0,0.229130281,-1.603123425
2,133.333333,Looking Left,0.319469,0.015169,-0.319856,0.533381,0.210606,-0.538867479,0.446474472,0.003065409,0.174903591,-1.632204874
3,200,Looking Left,0.310294,0.014517,-0.290718,0.525905,0.234893,-0.448219372,0.431307826,0.004613201,0.169664175,-1.570814965
4,266.666667,Looking Left,0.327655,0.014692,-0.295407,0.529028,0.064815,-0.312505913,0.434040637,0.006151488,0.178518946,-1.580192965
5,333.333333,Looking Left,0.330456,0.022222,-0.371651,0.53207,0.032738,-0.50386406,0.464460577,0.001528938,0.18745039,-1.732763522
6,400,Looking Left,0.316268,0.014482,-0.326794,0.524329,0.050267,-0.672922489,0.445212762,0.006096853,0.172616022,-1.64344272
7,466.666667,Looking Left,0.338833,0.014482,-0.33153,0.525955,0.1,-0.820462941,0.448814079,0.007644688,0.183898803,-1.652915012
8,533.333333,Looking Left,0.316416,0.014482,-0.293841,0.522875,0.14596,-1.348766147,0.432592479,0.003057747,0.172690295,-1.576481563
9,600,Looking Left,0.3285,0.014444,-0.310916,0.522914,0.127778,-1.912010444,0.439028853,0.007644938,0.178694297,-1.611111855
10,666.666667,Looking Left,0.3107,0.014692,-0.284513,0.525873,0.208577,-2.140603454,0.427571973,0,0.170041836,-1.557824976
11,733.333333,Looking Left,0.326885,0,-0.298505,0.524478,0.146686,-2.092055894,0.436137592,0.006134248,0.163442376,-1.585809856
12,800,Looking Left,0.308436,0.014866,-0.368585,0.535128,0.081313,-2.059134672,0.4613819,0,0.169084076,-1.726528687
13,866.666667,Looking Left,0.323488,0,-0.329657,0.524478,0.052288,-2.050434282,0.445706924,0.004600686,0.161743809,-1.648285615
14,933.333333,Looking Left,0.334446,0.014278,-0.316881,0.527518,0.074074,-2.144314646,0.441924823,0.009200896,0.181501453,-1.622243604
15,1000,Looking Left,0.307382,0,-0.310916,0.523055,0.199318,-2.174171524,0.440924273,0.004615188,0.153691208,-1.611111855
16,1066.666667,Looking Left,0.320182,0.014728,-0.288973,0.529071,0.197129,-2.194016641,0.431994534,0.001537996,0.174819134,-1.566046445
17,1133.333333,Looking Left,0.336457,0.020427,-0.339449,0.53207,0.146465,-2.237371953,0.450331418,0.003057875,0.188655845,-1.668558208
18,1200,Looking Left,0.324004,0.014907,-0.323087,0.525873,0.197129,-2.290604676,0.447249497,0.007643509,0.17690902,-1.634163066
19,1266.666667,Looking Left,0.338666,0.014692,-0.347994,0.528787,0.08877,-2.34705576,0.452948268,0.004558513,0.184024618,-1.682765861
20,1333.333333,Looking Left,0.320839,0,-0.327633,0.528787,0.020856,-2.318194038,0.443486053,0.010636529,0.160419654,-1.642913123
21,1400,Looking Left,0.321481,0.021136,-0.349908,0.533272,0.063181,-2.333065035,0.451643259,0.006059911,0.181876295,-1.687226056
22,1466.666667,Looking Left,0.316677,0.014866,-0.331873,0.525748,0.041176,-2.33138097,0.445711124,0.006078017,0.173204393,-1.649882142
23,1533.333333,Looking Left,0.321522,0.015438,-0.360024,0.531683,0.1,-2.315033151,0.455895684,0.006041855,0.176198548,-1.708913749
