frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,,0,0,0.5,0.5,0.5,-0.175526498,,,,-0.086557524
1,66.666667,,0.274349,0.082459,-0.376324,0.506661,0.276596,-0.061254601,0.417058865,0.017674218,0.219633548,-1.698686187
2,133.333333,,0.31165,0.109566,-0.568799,0.511738,0.054622,-0.340471196,0.473711112,0.021892516,0.265391675,-2.053997572
3,200,,0,0,0.5,0.5,0.5,-0.672057869,,,,-2.053997572
4,266.666667,,0,0,0.5,0.5,0.5,-0.571027811,,,,-2.053997572
5,333.333333,,0,0,0.5,0.5,0.5,-0.351031953,,,,-2.053997572
6,400,,0.329371,0.060252,-0.474266,0.511934,0.155449,-0.354284866,0.456175602,0.023129538,0.224937307,-1.902710179
7,466.666667,,0.363696,0.094462,-0.544304,0.517335,0.276533,-1.515498008,0.475180576,0.019788781,0.276309875,-2.013394506
8,533.333333,,0,0,0.5,0.5,0.5,-1.517949027,,,,-2.013394506
9,600,,0.2706,0.068535,-0.384995,0.514287,0.208333,-2.095837184,0.416647276,0.013300518,0.203835051,-1.703471825
10,666.666667,,0,0,0.5,0.5,0.5,-2.228507352,,,,-1.703471825
11,733.333333,,0,0,0.5,0.5,0.5,-2.259310683,,,,-1.703471825
12,800,,0,0,0.5,0.5,0.5,-2.221964277,,,,-1.703471825
13,866.666667,,0,0,0.5,0.5,0.5,-2.12135446,,,,-1.703471825
14,933.333333,,0,0,0.5,0.5,0.5,-2.117611934,,,,-1.703471825
15,1000,,0,0,0.5,0.5,0.5,-2.16306276,,,,-1.703471825
16,1066.666667,,0,0,0.5,0.5,0.5,-2.236279065,,,,-1.703471825
17,1133.333333,,0,0,0.5,0.5,0.5,-2.232845286,,,,-1.703471825
18,1200,,0,0,0.5,0.5,0.5,-2.243380603,,,,-1.703471825
19,1266.666667,,0,0,0.5,0.5,0.5,-2.247111918,,,,-1.703471825
20,1333.333333,,0,0,0.5,0.5,0.5,-2.234970865,,,,-1.703471825
21,1400,,0,0,0.5,0.5,0.5,-2.226896134,,,,-1.703471825
22,1466.666667,,0,0,0.5,0.5,0.5,-2.231375394,,,,-1.703471825
23,1533.333333,,0,0,0.5,0.5,0.5,-2.027264597,,,,-1.703471825
24,1600,,0,0,0.5,0.5,0.5,-2.018719411,,,,-1.703471825
25,1666.666667,,0,0,0.5,0.5,0.5,-1.512530688,,,,-1.703471825
26,1733.333333,,0,0,0.5,0.5,0.5,-1.200826154,,,,-1.703471825
27,1800,,0,0,0.5,0.5,0.5,-1.123241351,,,,-1.703471825
28,1866.666667,,0,0,0.5,0.5,0.5,-1.344468288,,,,-1.703471825
29,1933.333333,,0,0,0.5,0.5,0.5,-1.215263753,,,,-1.703471825
30,2000,,0,0,0.5,0.5,0.5,-1.241744025,,,,-1.703471825
31,2066.666667,,0,0,0.5,0.5,0.5,-1.475112679,,,,-1.703471825
32,2133.333333,,0,0,0.5,0.5,0.5,-1.667906997,,,,-1.703471825
33,2200,,0,0,0.5,0.5,0.5,-1.171121148,,,,-1.703471825
34,2266.666667,,0,0,0.5,0.5,0.5,-1.811176663,,,,-1.703471825
35,2333.333333,,0,0,0.5,0.5,0.5,-1.709440667,,,,-1.703471825
36,2400,,0,0,0.5,0.5,0.5,-1.826449522,,,,-1.703471825
37,2466.666667,,0,0,0.5,0.5,0.5,-1.23414685,,,,-1.703471825
38,2533.333333,,0,0,0.5,0.5,0.5,-0.935400049,,,,-1.703471825
39,2600,,0,0,0.5,0.5,0.5,-1.267514533,,,,-1.703471825
40,2666.666667,,0,0,0.5,0.5,0.5,-1.016280933,,,,-1.703471825
41,2733.333333,,0,0,0.5,0.5,0.5,-1.751273971,,,,-1.703471825
42,2800,,0,0,0.5,0.5,0.5,-2.28979913,,,,-1.703471825
43,2866.666667,,0,0,0.5,0.5,0.5,-2.023431613,,,,-1.703471825
44,2933.333333,,0,0,0.5,0.5,0.5,-2.333026215,,,,-1.703471825
45,3000,,0,0,0.5,0.5,0.5,-2.212860992,,,,-1.703471825
46,3066.666667,,0,0,0.5,0.5,0.5,-2.367483781,,,,-1.703471825
47,3133.333333,,0,0,0.5,0.5,0.5,-2.352313303,,,,-1.703471825
48,3200,,0,0,0.5,0.5,0.5,-2.335242677,,,,-1.703471825
49,3266.666667,,0,0,0.5,0.5,0.5,-2.307217727,,,,-1.703471825
50,3333.333333,,0,0,0.5,0.5,0.5,-2.321291543,,,,-1.703471825
51,3400,,0,0,0.5,0.5,0.5,-2.357558033,,,,-1.703471825
52,3466.666667,,0,0,0.5,0.5,0.5,-2.388965293,,,,-1.703471825
53,3533.333333,,0,0,0.5,0.5,0.5,-2.373482228,,,,-1.703471825
54,3600,,0,0,0.5,0.5,0.5,-2.349409556,,,,-1.703471825
55,3666.666667,,0,0,0.5,0.5,0.5,-2.212729773,,,,-1.703471825
56,3733.333333,,0,0,0.5,0.5,0.5,-2.281522004,,,,-1.703471825
57,3800,,0,0,0.5,0.5,0.5,-2.255688462,,,,-1.703471825
58,3866.666667,,0,0,0.5,0.5,0.5,-2.209450504,,,,-1.703471825
59,3933.333333,,0,0,0.5,0.5,0.5,-2.509371989,,,,-1.703471825
60,4000,,0,0,0.5,0.5,0.5,-0.906024001,,,,-1.703471825
61,4066.666667,,0,0,0.5,0.5,0.5,-1.163467768,,,,-1.703471825
62,4133.333333,,0,0,0.5,0.5,0.5,-1.970736831,,,,-1.703471825
63,4200,,0,0,0.5,0.5,0.5,-1.873424014,,,,-1.703471825
64,4266.666667,,0,0,0.5,0.5,0.5,-1.572909508,,,,-1.703471825
65,4333.333333,,0,0,0.5,0.5,0.5,-1.723367072,,,,-1.703471825
66,4400,,0,0,0.5,0.5,0.5,-1.020559167,,,,-1.703471825
67,4466.666667,,0,0,0.5,0.5,0.5,-1.775450947,,,,-1.703471825
68,4533.333333,,0,0,0.5,0.5,0.5,-1.428793841,,,,-1.703471825
69,4600,,0,0,0.5,0.5,0.5,-0.650404263,,,,-1.703471825
70,4666.666667,,0,0,0.5,0.5,0.5,-1.066983027,,,,-1.703471825
71,4733.333333,,0,0,0.5,0.5,0.5,-0.964817264,,,,-1.703471825
72,4800,,0,0,0.5,0.5,0.5,-0.983108564,,,,-1.703471825
73,4866.666667,,0,0,0.5,0.5,0.5,-0.892193722,,,,-1.703471825
74,4933.333333,,0,0,0.5,0.5,0.5,-0.819421532,,,,-1.703471825
75,5000,,0,0,0.5,0.5,0.5,-0.887892055,,,,-1.703471825
76,5066.666667,,0,0,0.5,0.5,0.5,-1.572209243,,,,-1.703471825
77,5133.333333,,0,0,0.5,0.5,0.5,-1.929745846,,,,-1.703471825
78,5200,,0,0,0.5,0.5,0.5,-2.099593791,,,,-1.703471825
79,5266.666667,,0,0,0.5,0.5,0.5,-2.403269478,,,,-1.703471825
80,5333.333333,,0.203558,0.012293,-0.339787,0.517675,0.271739,-2.525281625,0.383489801,-0.007072058,0.114072533,-1.59081923
81,5400,,0,0,0.5,0.5,0.5,-2.520378489,,,,-1.59081923
82,5466.666667,,0.234677,0.012464,-0.322332,0.521021,0.396739,-2.510585934,0.374843703,-0.01982144,0.129802336,-1.545146196
83,5533.333333,,0,0,0.5,0.5,0.5,-2.464786567,,,,-1.545146196
84,5600,,0.217716,0.025164,-0.25328,0.513337,0.412959,-2.460084564,0.352730709,-0.012833436,0.13402154,-1.415390276
85,5666.666667,,0,0,0.5,0.5,0.5,-2.455639042,,,,-1.415390276
86,5733.333333,,0.237584,0.03827,-0.217287,0.514454,0.5,-2.449377796,0.341078382,-0.020006534,0.157062101,-1.3375245
87,5800,,0,0,0.5,0.5,0.5,-2.460910202,,,,-1.3375245
88,5866.666667,,0.254349,0,-0.326718,0.521105,0.396825,-2.454948178,0.378738265,-0.018509206,0.127174684,-1.551909407
89,5933.333333,,0,0,0.5,0.5,0.5,-2.453759988,,,,-1.551909407
