frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,Looking Left,0,0,0.5,0.5,0.5,-1.857742169,,,,-0.340709764
1,66.666667,Looking Left,0.626574,0.019259,-0.691691,0.474116,0.063241,-1.82085453,0.545365709,0.009545962,0.332546471,-2.3627684
2,133.333333,Looking Left,0.620814,0.018811,-0.655497,0.505213,-0.06689,-1.794782687,0.489174487,0.007176327,0.329218131,-2.28817074
3,200,Looking Left,0.774928,0.019167,-0.68341,0.51749,-0.380435,-1.776994044,0.490160872,0.008346611,0.406630991,-2.361424856
4,266.666667,Looking Left,0.766893,0.027735,-0.640124,0.53173,-0.305556,-1.81296672,0.481688748,0.007033469,0.411181424,-2.276668013
5,333.333333,Looking Left,0.726997,0.019426,-0.652202,0.532508,-0.190909,-1.830536182,0.49379113,0.007157362,0.382924026,-2.300823642
6,400,Looking Left,0.756081,0.027929,-0.658241,0.530906,-0.292271,-1.852400825,0.499382825,0.007213393,0.405969445,-2.312901456
7,466.666667,Looking Left,0.780115,0.027837,-0.622185,0.52802,-0.347826,-1.844809987,0.490981687,0.007213393,0.417894499,-2.239864813
8,533.333333,Looking Left,0.803989,0.027929,-0.651857,0.524907,-0.281401,-1.887707849,0.49407544,0.007170864,0.429923317,-2.299607949
9,600,Looking Left,0.716594,0,-0.665196,0.533062,-0.166667,-1.904292508,0.50689506,0.008691236,0.358297003,-2.325188222
10,666.666667,Looking Left,0.619348,0.019612,-0.671619,0.512828,-0.359848,-1.897439454,0.492370537,0.004249957,0.329285626,-2.338454417
11,733.333333,Looking Left,0.677988,0.027212,-0.676402,0.528661,-0.219565,-1.892126862,0.501008654,0.00287316,0.366205492,-2.346078572
12,800,Looking Left,0.776991,0.019533,-0.685172,0.522312,-0.547727,-1.906274426,0.494367864,0.00425798,0.408028276,-2.36415249
13,866.666667,Looking Left,0.697753,0.027395,-0.693722,0.531763,-0.264646,-1.907848262,0.505904808,0.005748788,0.376271192,-2.381982394
14,933.333333,Looking Left,0.711266,0.019241,-0.67439,0.53407,-0.255556,-1.892633889,0.502056993,0.005805106,0.374874618,-2.341972177
