frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0.000000,Looking Left,0.000000,0.000000,0.500000,0.500000,0.500000,-2.623936459994469,,,,-0.3977709087489604
1,66.666667,Looking Left,0.787364,0.046312,-0.735851,0.497529,-0.461066,-2.8493771887743904,0.5555304217756857,-0.012720902060406313,0.43999351558132177,-2.471559107868912
2,133.333333,Looking Left,0.627090,0.032795,-0.744270,0.487908,-0.401852,-2.868089827348704,0.5309799903797585,-0.008042433010986814,0.34633989686263605,-2.488475697613172
3,200.000000,Looking Left,0.607880,0.012960,-0.725275,0.477540,-0.220455,-2.832397743550133,0.5258398556052767,-0.0013047538675028357,0.31689948797651246,-2.4505494505494507
4,266.666667,Looking Left,0.689414,0.019822,-0.695149,0.477012,-0.085763,-2.8073296246350203,0.5126255645741478,-0.0012892208413714016,0.364529523198125,-2.389575749108721
5,333.333333,Looking Left,0.665978,0.019550,-0.670061,0.478246,0.020455,-2.7988239823130048,0.5050185239335638,-0.0038157934374606155,0.3525386813903913,-2.3398959639633437
6,400.000000,Looking Left,0.656163,0.013841,-0.666070,0.482041,-0.006734,-2.784006283218456,0.5022771498325647,0.0,0.34192221493295716,-2.3312458642507914
7,466.666667,Looking Left,0.733822,0.029689,-0.726657,0.477370,-0.310315,-2.7649652163017273,0.5104022986905508,-0.005078399904041807,0.3966001760719802,-2.4517748673155126
8,533.333333,Looking Left,0.666182,0.000000,-0.680331,0.488495,-0.127193,-2.7418988912160973,0.5159626914905012,-0.01377805830701782,0.3330909233544033,-2.360542517633067
9,600.000000,Looking Left,0.726461,0.020103,-0.652071,0.479939,-0.152778,-2.7316161319280936,0.4922891176259046,-0.0012629968011968965,0.38333317997096744,-2.303627366349397
10,666.666667,Looking Left,0.721293,0.015108,-0.715563,0.481692,-0.565359,-2.7130545777991304,0.505055916823557,-0.006338057087015584,0.37575450808089295,-2.4295868594665038
11,733.333333,Looking Left,0.624282,0.012804,-0.673539,0.486515,-0.259649,-2.690646806776552,0.5134493138273023,-0.0025208036998407546,0.324944447755392,-2.3470242443427383
12,800.000000,Looking Left,0.715730,0.019574,-0.734258,0.483668,-0.201258,-2.685441569157094,0.5144954525682015,-0.007596884565580853,0.3774390794777299,-2.4677684522257497
13,866.666667,Looking Left,0.709216,0.019822,-0.722424,0.476614,-0.300699,-2.687149036231005,0.5081360018428517,-0.0037826480239551707,0.37443054221789956,-2.443006450711224
14,933.333333,Looking Left,0.613421,0.012633,-0.692624,0.489792,-0.102273,-2.695128898988722,0.5159368999019118,-0.007496814530592965,0.3193434440398866,-2.385125531416096
15,1000.000000,Looking Left,0.735951,0.032135,-0.675193,0.482878,-0.143162,-2.695065651670803,0.49810762323040525,0.0012640780582796065,0.40011020921928664,-2.3496699394131073
16,1066.666667,Looking Left,0.765596,0.019257,-0.699344,0.479995,-0.392593,-2.6588300967269167,0.503963682667617,-0.006282656519795671,0.4020554554868519,-2.3962007646136514
17,1133.333333,Looking Left,0.637457,0.000000,-0.677001,0.481342,-0.045455,-2.6614161655084314,0.5062995591599573,-0.001240572577975316,0.31872860033595735,-2.3538793454150118
18,1200.000000,Looking Left,0.757877,0.020000,-0.747194,0.484465,-0.510782,-2.6666762998012006,0.5116243714397357,-0.0012550895095863944,0.39893848779120383,-2.492504777012251
