frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,,0,0,0.5,0.5,0.5,-0.771508477,,,,-0.340891124
1,66.666667,,0,0,0.5,0.5,0.5,-0.094086813,,,,-0.340891124
2,133.333333,,0,0,0.5,0.5,0.5,-0.161969835,,,,-0.340891124
3,200,,0,0,0.5,0.5,0.5,-0.867519575,,,,-0.340891124
4,266.666667,,0,0,0.5,0.5,0.5,-0.488356468,,,,-0.340891124
5,333.333333,,0,0,0.5,0.5,0.5,-0.577895308,,,,-0.340891124
6,400,,0,0,0.5,0.5,0.5,-0.540205845,,,,-0.340891124
7,466.666667,,0,0,0.5,0.5,0.5,-0.651552156,,,,-0.340891124
8,533.333333,,0,0,0.5,0.5,0.5,-0.694346923,,,,-0.340891124
9,600,,0,0,0.5,0.5,0.5,-1.314765171,,,,-0.340891124
10,666.666667,,0,0,0.5,0.5,0.5,-1.385793346,,,,-0.340891124
11,733.333333,,0,0,0.5,0.5,0.5,-1.553614972,,,,-0.340891124
12,800,,0,0,0.5,0.5,0.5,-1.512351885,,,,-0.340891124
13,866.666667,,0,0,0.5,0.5,0.5,-1.563535624,,,,-0.340891124
14,933.333333,,0,0,0.5,0.5,0.5,-1.502326632,,,,-0.340891124
15,1000,,0,0,0.5,0.5,0.5,-1.218207426,,,,-0.340891124
16,1066.666667,,0,0,0.5,0.5,0.5,-0.969676364,,,,-0.340891124
17,1133.333333,,0,0,0.5,0.5,0.5,-0.731902038,,,,-0.340891124
18,1200,,0,0,0.5,0.5,0.5,-0.720021251,,,,-0.340891124
19,1266.666667,,0,0,0.5,0.5,0.5,-0.769412118,,,,-0.340891124
20,1333.333333,,0,0,0.5,0.5,0.5,-0.821564584,,,,-0.340891124
21,1400,,0,0,0.5,0.5,0.5,-0.853769668,,,,-0.340891124
22,1466.666667,,0,0,0.5,0.5,0.5,-0.866552273,,,,-0.340891124
23,1533.333333,,0,0,0.5,0.5,0.5,-0.913313116,,,,-0.340891124
24,1600,,0,0,0.5,0.5,0.5,-0.935608219,,,,-0.340891124
25,1666.666667,,0,0,0.5,0.5,0.5,-1.111761892,,,,-0.340891124
26,1733.333333,,0,0,0.5,0.5,0.5,-1.389356977,,,,-0.340891124
27,1800,,0,0,0.5,0.5,0.5,-1.352084148,,,,-0.340891124
28,1866.666667,,0,0,0.5,0.5,0.5,-1.312163391,,,,-0.340891124
29,1933.333333,,0,0,0.5,0.5,0.5,-1.227835968,,,,-0.340891124
30,2000,,0,0,0.5,0.5,0.5,-1.221855998,,,,-0.340891124
31,2066.666667,,0,0,0.5,0.5,0.5,-1.205123057,,,,-0.340891124
32,2133.333333,,0,0,0.5,0.5,0.5,-0.94344574,,,,-0.340891124
33,2200,,0,0,0.5,0.5,0.5,-0.935575621,,,,-0.340891124
34,2266.666667,,0,0,0.5,0.5,0.5,-1.025110774,,,,-0.340891124
35,2333.333333,,0,0,0.5,0.5,0.5,-0.998015929,,,,-0.340891124
36,2400,,0,0,0.5,0.5,0.5,-0.959819441,,,,-0.340891124
37,2466.666667,,0,0,0.5,0.5,0.5,-1.027236609,,,,-0.340891124
38,2533.333333,,0,0,0.5,0.5,0.5,-1.142387864,,,,-0.340891124
39,2600,,0,0,0.5,0.5,0.5,-1.407099721,,,,-0.340891124
40,2666.666667,,0,0,0.5,0.5,0.5,-1.71537773,,,,-0.340891124
41,2733.333333,,0,0,0.5,0.5,0.5,-1.547869021,,,,-0.340891124
42,2800,,0,0,0.5,0.5,0.5,-1.264127951,,,,-0.340891124
43,2866.666667,,0,0,0.5,0.5,0.5,-0.699227244,,,,-0.340891124
44,2933.333333,,0,0,0.5,0.5,0.5,-0.758548053,,,,-0.340891124
45,3000,,0,0,0.5,0.5,0.5,-0.839985229,,,,-0.340891124
46,3066.666667,,0,0,0.5,0.5,0.5,-0.588126425,,,,-0.340891124
47,3133.333333,,0,0,0.5,0.5,0.5,-0.564708515,,,,-0.340891124
48,3200,,0,0,0.5,0.5,0.5,-0.645491439,,,,-0.340891124
49,3266.666667,,0,0,0.5,0.5,0.5,-0.689417736,,,,-0.340891124
50,3333.333333,,0,0,0.5,0.5,0.5,-0.606751667,,,,-0.340891124
51,3400,,0,0,0.5,0.5,0.5,-0.6524038,,,,-0.340891124
52,3466.666667,,0,0,0.5,0.5,0.5,-0.679919773,,,,-0.340891124
53,3533.333333,,0,0,0.5,0.5,0.5,-0.795151762,,,,-0.340891124
54,3600,,0,0,0.5,0.5,0.5,-0.817665735,,,,-0.340891124
55,3666.666667,,0,0,0.5,0.5,0.5,-0.826087893,,,,-0.340891124
56,3733.333333,,0,0,0.5,0.5,0.5,-0.813986187,,,,-0.340891124
57,3800,,0,0,0.5,0.5,0.5,-0.764807469,,,,-0.340891124
58,3866.666667,,0,0,0.5,0.5,0.5,-0.731418495,,,,-0.340891124
59,3933.333333,,0,0,0.5,0.5,0.5,-0.569187988,,,,-0.340891124
60,4000,,0,0,0.5,0.5,0.5,-0.505252335,,,,-0.340891124
61,4066.666667,,0,0,0.5,0.5,0.5,-0.402295044,,,,-0.340891124
62,4133.333333,,0,0,0.5,0.5,0.5,-0.397187081,,,,-0.340891124
63,4200,,0,0,0.5,0.5,0.5,-0.439113708,,,,-0.340891124
64,4266.666667,,0,0,0.5,0.5,0.5,-0.451939312,,,,-0.340891124
65,4333.333333,,0,0,0.5,0.5,0.5,-0.46822495,,,,-0.340891124
66,4400,,0,0,0.5,0.5,0.5,-0.483255662,,,,-0.340891124
67,4466.666667,,0,0,0.5,0.5,0.5,-0.484423803,,,,-0.340891124
68,4533.333333,,0,0,0.5,0.5,0.5,-0.574861005,,,,-0.340891124
69,4600,,0,0,0.5,0.5,0.5,-0.614972689,,,,-0.340891124
70,4666.666667,,0,0,0.5,0.5,0.5,-0.576740251,,,,-0.340891124
71,4733.333333,,0,0,0.5,0.5,0.5,-0.533219472,,,,-0.340891124
72,4800,,0,0,0.5,0.5,0.5,-0.420347432,,,,-0.340891124
73,4866.666667,,0,0,0.5,0.5,0.5,-0.049722822,,,,-0.340891124
74,4933.333333,,0,0,0.5,0.5,0.5,0.003229255,,,,-0.340891124
75,5000,,0,0,0.5,0.5,0.5,-5.36E-05,,,,-0.340891124
76,5066.666667,,0,0,0.5,0.5,0.5,-0.169543328,,,,-0.340891124
77,5133.333333,,0,0,0.5,0.5,0.5,-0.366721374,,,,-0.340891124
78,5200,,0,0,0.5,0.5,0.5,-0.506799336,,,,-0.340891124
79,5266.666667,,0,0,0.5,0.5,0.5,-0.572712175,,,,-0.340891124
80,5333.333333,,0,0,0.5,0.5,0.5,-0.547634408,,,,-0.340891124
81,5400,,0,0,0.5,0.5,0.5,-0.533224272,,,,-0.340891124
82,5466.666667,,0,0,0.5,0.5,0.5,-0.515025374,,,,-0.340891124
83,5533.333333,,0,0,0.5,0.5,0.5,-0.262557002,,,,-0.340891124
84,5600,,0,0,0.5,0.5,0.5,-0.199549159,,,,-0.340891124
85,5666.666667,,0,0,0.5,0.5,0.5,-0.412470121,,,,-0.340891124
86,5733.333333,,0,0,0.5,0.5,0.5,-0.496966557,,,,-0.340891124
87,5800,,0,0,0.5,0.5,0.5,-0.76374406,,,,-0.340891124
88,5866.666667,,0,0,0.5,0.5,0.5,-0.817263289,,,,-0.340891124
89,5933.333333,,0,0,0.5,0.5,0.5,-0.966299164,,,,-0.340891124
90,6000,,0,0,0.5,0.5,0.5,-0.845776684,,,,-0.340891124
91,6066.666667,,0,0,0.5,0.5,0.5,-0.751659273,,,,-0.340891124
92,6133.333333,,0,0,0.5,0.5,0.5,-0.7290575,,,,-0.340891124
93,6200,,0,0,0.5,0.5,0.5,-0.812226123,,,,-0.340891124
94,6266.666667,,0,0,0.5,0.5,0.5,-0.688660323,,,,-0.340891124
95,6333.333333,,0,0,0.5,0.5,0.5,-0.663431581,,,,-0.340891124
96,6400,,0,0,0.5,0.5,0.5,-0.598182295,,,,-0.340891124
97,6466.666667,,0,0,0.5,0.5,0.5,-0.598355642,,,,-0.340891124
98,6533.333333,,0,0,0.5,0.5,0.5,-0.598918543,,,,-0.340891124
99,6600,,0,0,0.5,0.5,0.5,-0.596487146,,,,-0.340891124
100,6666.666667,,0,0,0.5,0.5,0.5,-0.547710289,,,,-0.340891124
101,6733.333333,,0,0,0.5,0.5,0.5,-0.548210513,,,,-0.340891124
102,6800,,0,0,0.5,0.5,0.5,-0.548962315,,,,-0.340891124
103,6866.666667,,0,0,0.5,0.5,0.5,-0.244078584,,,,-0.340891124
104,6933.333333,,0.284058,0.178803,-0.182184,-0.16197,0.2,-0.281017442,0.128714535,0.005650128,0.320831893,-0.325723353
105,7000,,0.288649,0.058311,-0.133826,-0.185179,-1.333333,-0.493072156,0.14643829,0.030863196,0.202635861,-0.328988326
106,7066.666667,,0.306112,0.214564,-0.057573,-0.134064,0.4,-0.519413678,0.125520833,0.030643245,0.367620155,-0.261694038
107,7133.333333,,0,0,0.5,0.5,0.5,-0.562307977,,,,-0.261694038
108,7200,,0,0,0.5,0.5,0.5,-1.408681789,,,,-0.261694038
109,7266.666667,,0,0,0.5,0.5,0.5,-1.483348859,,,,-0.261694038
110,7333.333333,,0,0,0.5,0.5,0.5,-1.356166111,,,,-0.261694038
