frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0,Looking Left,0.402708,0.016217,-0.159383,0.467755,0.14437,-2.37726273,0.380922731,0.020448324,0.217570957,-1.318529055
1,66.666667,Looking Left,0.342647,0.013572,-0.268215,0.457578,0.241587,-2.290483471,0.406539961,0.012169629,0.184895538,-1.527657118
2,133.333333,Looking Left,0.338414,0.013022,-0.291222,0.46582,0.139277,-2.240445373,0.41729175,0.017916148,0.182229035,-1.574897608
3,200,Looking Left,0.302325,0,-0.32144,0.454712,0.217241,-2.20364433,0.425316793,0.017579064,0.151162359,-1.638181858
4,266.666667,Looking Left,0.34843,0,-0.316441,0.451932,0.184615,-2.058978559,0.424153632,0.023175982,0.17421524,-1.627957732
5,333.333333,Looking Left,0.329258,0.012695,-0.306495,0.450711,0.155724,-2.013576933,0.417045927,0.020802035,0.17732372,-1.60910092
6,400,Looking Left,0.323382,0,-0.286697,0.44618,0.148901,-1.985128295,0.410243137,0.016099273,0.161691064,-1.569286265
7,466.666667,Looking Left,0.334354,0.012286,-0.308931,0.448673,0.148901,-1.964877597,0.418275267,0.017256661,0.17946314,-1.613305634
8,533.333333,Looking Left,0.338834,0,-0.29378,0.445365,0.155271,-1.93441398,0.410057327,0.021809135,0.16941691,-1.583358328
9,600,Looking Left,0.359116,0.012438,-0.30639,0.445078,0.159598,-1.924908573,0.416753662,0.025367112,0.191995729,-1.608546174
10,666.666667,Looking Left,0.336189,0.01776,-0.282723,0.44628,0.1875,-1.926006833,0.409814301,0.020810987,0.185854391,-1.560631592
11,733.333333,Looking Left,0.351815,0.012879,-0.291355,0.44628,0.126923,-1.925817361,0.413181136,0.018498655,0.188786536,-1.577859737
12,800,Looking Left,0.33475,0.012577,-0.282826,0.447575,0.099715,-1.923315634,0.409087809,0.017303167,0.179951965,-1.56119741
