frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0.000000,Looking Left,0.429731,0.170058,-0.050444,0.479703,0.288889,-2.28155884783724,0.31700958510908384,0.020947749209333177,0.38492353567839466,-1.0979083477740752
1,66.666667,Looking Left,0.406676,0.211475,-0.038630,0.478663,0.214615,-2.168785907047764,0.3028392942474602,0.019268231033932236,0.414813000442964,-1.0727289816019758
2,133.333333,Looking Left,0.404522,0.168788,-0.041148,0.474984,0.206637,-2.1144567089571025,0.3044940183580098,0.01803737609288972,0.3710492139943069,-1.0786562234827384
3,200.000000,Looking Left,0.395669,0.180908,-0.035148,0.469156,0.221154,-2.092861906092257,0.30125605287922647,0.02096230175478135,0.3787422315848432,-1.0661658098362137
4,266.666667,Looking Left,0.392674,0.167615,-0.029376,0.471271,0.208282,-2.105986371784118,0.29647916143124214,0.02087908440285479,0.3639517688466017,-1.0545968202698168
5,333.333333,Looking Left,0.393536,0.175626,-0.026285,0.471214,0.206701,-2.0031436967085843,0.29590961258166104,0.021870689090430988,0.37239390235727443,-1.0484623493311016
6,400.000000,Looking Left,0.396775,0.165991,-0.040984,0.467103,0.186582,-2.0247417201525444,0.304604493940615,0.020959753992143882,0.3643790404823005,-1.0772905733716216
7,466.666667,Looking Left,0.393947,0.185171,-0.049867,0.469335,0.219241,-2.0514546036315395,0.30977999537472667,0.019054190963084836,0.3821449294498891,-1.0941427867678502
8,533.333333,Looking Left,0.389742,0.144384,-0.056427,0.471208,0.226024,-2.0371274833292126,0.30989598624594955,0.01896812240466446,0.33925509814067084,-1.1077421734169919
9,600.000000,Looking Left,0.386236,0.175428,-0.059516,0.472400,0.214615,-2.0625425691008163,0.31139754417625726,0.017014400276529725,0.3685458177274613,-1.112952303250903
10,666.666667,Looking Left,0.381791,0.177140,-0.065978,0.476308,0.232655,-2.080167053332349,0.3135438433044134,0.01701099265302838,0.3680352507981668,-1.127625126957572
11,733.333333,Looking Left,0.397270,0.119078,-0.062236,0.480575,0.214544,-2.084995122054887,0.31308332629803204,0.016949733825288117,0.31771304345117446,-1.1202422074895941
12,800.000000,Looking Left,0.409738,0.060119,-0.080423,0.483641,0.202787,-2.0981748705139185,0.3213148961487696,0.016917474831173594,0.264988471835238,-1.1557040828150067
13,866.666667,Looking Left,0.405127,0.081480,-0.089359,0.481609,0.209280,-2.1036783160989576,0.3263274348604585,0.015920973368014065,0.28404357785658574,-1.1735757954358574
14,933.333333,Looking Left,0.390671,0.049444,-0.089303,0.479619,0.214615,-2.1134382385399246,0.3263445936140744,0.017911095039015824,0.24478009137910217,-1.1728476222563746
15,1000.000000,Looking Left,0.396642,0.109226,-0.099113,0.479660,0.226452,-2.118975429389639,0.3287951907643201,0.014865481407233904,0.3075474615661287,-1.1923642489745345
16,1066.666667,Looking Left,0.396274,0.128866,-0.108124,0.482668,0.248205,-2.12891622345541,0.3331784166131723,0.014836105804839413,0.3270029919061863,-1.2103848673469457
17,1133.333333,Looking Left,0.408741,0.127607,-0.102117,0.483746,0.268205,-2.1384123749370745,0.33035661930216065,0.01586053296330654,0.3319773945023131,-1.1983711217653383
18,1200.000000,Looking Left,0.399284,0.119517,-0.114816,0.480768,0.263622,-2.147605442526558,0.3345810605222991,0.01773324139899933,0.319159099552368,-1.2236989913578773
19,1266.666667,Looking Left,0.417812,0.099682,-0.117485,0.479862,0.255865,-2.14758875318019,0.33731538155011487,0.016785312407877666,0.30858769049502666,-1.2290717819880663
20,1333.333333,Looking Left,0.409149,0.090683,-0.130358,0.480690,0.254181,-2.1530214182260345,0.343289162129195,0.01681425324548467,0.2952572001594873,-1.2550699505741927
21,1400.000000,Looking Left,0.424866,0.092607,-0.159277,0.478365,0.253205,-2.1597132754074364,0.3566862835789579,0.01680206148941348,0.3050395588188091,-1.3140358383438375
22,1466.666667,Looking Left,0.418733,0.071369,-0.141245,0.479569,0.267001,-2.1637419978551606,0.3467272576352813,0.01783521478778772,0.2807355075870849,-1.2773422650764235
23,1533.333333,Looking Left,0.435183,0.083868,-0.155739,0.481368,0.274150,-2.161174270810003,0.35493075543325253,0.013809741863164604,0.3014595134051292,-1.3069875211876734
24,1600.000000,Looking Left,0.435336,0.041994,-0.130315,0.477677,0.252137,-2.170230141893056,0.3438549473334189,0.016847545594865093,0.2596617371236557,-1.2546606720186777
25,1666.666667,Looking Left,0.418812,0.022306,-0.108583,0.480916,0.242857,-2.169780464376576,0.33213492055131316,0.01682215424754757,0.2317119331597615,-1.209489386766102
26,1733.333333,Looking Left,0.421821,0.023008,-0.123754,0.482710,0.265050,-2.169324694335682,0.3403105557705979,0.014837412207683242,0.2339187343903792,-1.240554407243665
27,1800.000000,Looking Left,0.424284,0.022306,-0.110395,0.480848,0.272574,-2.1544752600466457,0.33595344116802955,0.017809181764441566,0.23444789679732578,-1.2143412015500663
28,1866.666667,Looking Left,0.419120,0.022321,-0.127711,0.482668,0.269675,-2.144238713840609,0.3410409977326179,0.017803326965807293,0.23188066681058483,-1.2497424702814819
29,1933.333333,Looking Left,0.433920,0.022343,-0.123839,0.481690,0.250352,-2.1374552228666786,0.34187334783139967,0.016918848795736255,0.23930279386447315,-1.2414142692226384
30,2000.000000,Looking Left,0.426723,0.022530,-0.123839,0.483773,0.283552,-2.1333872351588994,0.339897922791507,0.016783970717756388,0.2358916877509789,-1.2414142692226384
31,2066.666667,Looking Left,0.429877,0.013841,-0.111385,0.477959,0.248252,-2.124970993181962,0.3340692641101394,0.01678780029446355,0.22877959007812648,-1.2162056132376229
32,2133.333333,Looking Left,0.429900,0.014108,-0.124212,0.480925,0.261463,-2.1199069456093893,0.3390501089051501,0.017739027302069235,0.2290575840805077,-1.2421220180946348
33,2200.000000,Looking Left,0.426959,0.022545,-0.114315,0.477888,0.282330,-2.1285470119006953,0.33561204680900353,0.016785312407877666,0.2360248414318892,-1.2213633803202593
34,2266.666667,Looking Left,0.427016,0.014560,-0.118071,0.479899,0.282330,-2.136208866534882,0.33618432651729674,0.01678658894834482,0.2280680161239193,-1.229146663938093
35,2333.333333,Looking Left,0.422631,0.014117,-0.114356,0.478904,0.265050,-2.141313676215811,0.33610283350421044,0.016821001324341465,0.22543229088191752,-1.2218002105216588
36,2400.000000,Looking Left,0.333785,0.014419,-0.109394,0.480927,0.266065,-2.1717584104535144,0.3341157602723955,0.015028973732033058,0.18131147054245264,-1.2124467606108484
37,2466.666667,Looking Left,0.198216,0.013714,-0.037885,0.496945,0.312981,-2.176155809590199,0.3038216893301226,0.014026676050865956,0.1128220209739535,-1.0724351726061945
