frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9427957924570691,,,,-0.2938797190822008
1,66.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.8307191540331096,,,,-0.2938797190822008
2,133.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-2.06241136502055,,,,-0.2938797190822008
3,200.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9096310206572475,,,,-0.2938797190822008
4,266.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.8970089565898072,,,,-0.2938797190822008
5,333.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9149141856950536,,,,-0.2938797190822008
6,400.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9035532807770368,,,,-0.2938797190822008
7,466.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.8667298485088728,,,,-0.2938797190822008
8,533.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.8752996807777798,,,,-0.2938797190822008
9,600.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.857163060611972,,,,-0.2938797190822008
10,666.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.90605184832304,,,,-0.2938797190822008
11,733.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9360993167640195,,,,-0.2938797190822008
12,800.000000,Looking Left,0.460102,0.067408,-0.263387,0.441525,0.791667,-1.943704997603891,0.3564463133013713,-0.03071475584169756,0.2974589822229584,-1.4317462685207296
13,866.666667,Looking Left,0.391314,0.040962,-0.509544,0.466964,-0.033730,-1.9404711358166604,0.456932820720186,-0.011207144565660741,0.23661835715147775,-1.9334733313445798
14,933.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9374970159912501,,,,-1.9334733313445798
15,1000.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9503929603731531,,,,-1.9334733313445798
16,1066.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9478722230275676,,,,-1.9334733313445798
17,1133.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9465040558462112,,,,-1.9334733313445798
18,1200.000000,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9450941019107526,,,,-1.9334733313445798
19,1266.666667,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9403959496922412,,,,-1.9334733313445798
20,1333.333333,,0.000000,0.000000,0.500000,0.500000,0.500000,-1.9376748275297877,,,,-1.9334733313445798
