,precision,recall,f1-score,support
Forward Pose,1.000,1.000,1.000,240.000
Looking Left,1.000,1.000,1.000,121.000
Looking Right,1.000,1.000,1.000,120.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,481.000
weighted avg,1.000,1.000,1.000,481.000
