,precision,recall,f1-score,support
Drowsy,1.000,1.000,1.000,135.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,135.000
weighted avg,1.000,1.000,1.000,135.000
