,precision,recall,f1-score,support
Forward Pose,0.994,1.000,0.997,154.000
Looking Left,1.000,1.000,1.000,121.000
Looking Right,1.000,0.968,0.984,31.000
accuracy,0.997,0.997,0.997,0.997
macro avg,0.998,0.989,0.993,306.000
weighted avg,0.997,0.997,0.997,306.000
